"adap-org/9903001","James P. Crutchfield","James P. Crutchfield and Erik van Nimwegen","The Evolutionary Unfolding of Complexity","28 pages, 5 figures",,,"Santa Fe Institute Working Paper 99-02-015","adap-org nlin.AO q-bio.PE",,"  We analyze the population dynamics of a broad class of fitness functions that
exhibit epochal evolution---a dynamical behavior, commonly observed in both
natural and artificial evolutionary processes, in which long periods of stasis
in an evolving population are punctuated by sudden bursts of change. Our
approach---statistical dynamics---combines methods from both statistical
mechanics and dynamical systems theory in a way that offers an alternative to
current ``landscape'' models of evolutionary optimization. We describe the
population dynamics on the macroscopic level of fitness classes or phenotype
subbasins, while averaging out the genotypic variation that is consistent with
a macroscopic state. Metastability in epochal evolution occurs solely at the
macroscopic level of the fitness distribution. While a balance between
selection and mutation maintains a quasistationary distribution of fitness,
individuals diffuse randomly through selectively neutral subbasins in genotype
space. Sudden innovations occur when, through this diffusion, a genotypic
portal is discovered that connects to a new subbasin of higher fitness
genotypes. In this way, we identify innovations with the unfolding and
stabilization of a new dimension in the macroscopic state space. The
architectural view of subbasins and portals in genotype space clarifies how
frozen accidents and the resulting phenotypic constraints guide the evolution
to higher complexity.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:43:12 GMT""}]","2007-05-23"
"astro-ph/9902371","Chris Churchill","Christopher W. Churchill (Penn State), Donald P. Schneider (Penn
  State), Maarten Schmidt (Caltech), James E. Gunn (Princeton)","An Unusual Mini-BAL Quasar at z=4.59","12 pages; 7 included figures, emulateapj.sty; accepted to The
  Astronomical Journal",,"10.1086/300884",,"astro-ph",,"  The z=4.591 quasar PC 1415+3408 exhibits very strong associated metal-line
absorption from the N V (1238,1242), Si IV (1393,1402), and C IV (1548,1550)
doublets spanning the velocity interval -1700 < v < 0 km/s. Also present, are
detached absorption troughs in N V and C IV spanning -5000 < v < -3000 km/s;
this is characteristic of broad absorption line (BAL) quasars, but the small
overall velocity spread suggests that PC 1415+3408 be classified as a Mini-BAL
quasar. The N V doublet is consistent with black saturation over the velocity
interval -1200 to -500 km/s; black N V absorption is extraordinary in all
classes of quasars at all redshifts. Over this velocity interval, the C IV
doublet is severely blended, but also consistent with black saturation. The
material over this range of velocity appears to fully occult the continuum
source, the broad emission line region, and any material that could give rise
to scattered light. In view of a unified scenario for BAL and Mini-BAL
absorption, these facts imply that the quasar is being viewed along a preferred
direction. On the other hand, the black Mini-BALs in PC 1415+3408 could be
explained if the BAL flow has an unusual geometry compared to the population of
BAL quasars, and/or the spatial extent of a scattering region is small at the
lower velocities (-1700 < v < 0 km/s).
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:43:11 GMT""}]","2009-10-31"
"astro-ph/9902377","Guido Risaliti","G. Risaliti, R. Maiolino, M. Salvati","The distribution of absorbing column densities among Seyfert 2 galaxies","16 LaTeX pages+5 postscript figures, accepted by ApJ","Astrophys.J. 522 (1999) 157-164","10.1086/307623",,"astro-ph",,"  We use hard X-ray data for an ""optimal"" sample of Seyfert 2 galaxies to
derive the distribution of the gaseous absorbing column densities among
obscured active nuclei in the local Universe. Of all Seyfert 2 galaxies in the
sample, 75% are heavily obscured (N_H > 10^23 cm^-2) and about half are Compton
thick (N_H > 10^24 cm^-2). Intermediate type 1.8-1.9 Seyferts are characterized
by an average N_H much lower than ""strict"" Seyfert 2s. No correlation is found
between N_H and the intrinsic luminosity of the nuclear source. This N_H
distribution has important consequences for the synthesis of the cosmic X-ray
background. Also, the large fraction of Compton thick objects implies that most
of the obscuring gas is located within a radius of a few 10 pc from the
nucleus.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:05:00 GMT""}]","2009-10-31"
"astro-ph/9902378","Blinnikov S.","S.I.Blinnikov, A.V.Kozyreva, and I.E.Panchenko","GRBs: when do blackbody spectra look like non-thermal ones?","17 pages, 8 figures. Reported partly at Stockholm Observatory on May
  15, 1998, and at the International Winter School ""Physics of Space"" held at
  the Urals State University on Feb. 2-6,1998","Astron.Rep. 43 (1999) 739-747",,,"astro-ph",,"  We argue that a nonthermally looking spectrum of a gamma-ray burst (GRB) can
be formed as a superposition of a set of thermal blackbody spectra. This
superposition may be done by time integration which is present even in `time
resolved' GRB spectroscopy. A nonthermal spectrum can be obtained also by the
space integration which should take place unless all the emission comes from a
plane front moving exactly towards the observer. We propose a model of the
gamma-ray burst spectrum formation based on this idea. This model allows the
GRB radiation to be optically thick and to have higher values of baryon load.
Thus the latter is limited by the energy considerations only, and not by the
condition of a small optical depth.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:18:01 GMT""},{""version"":""v2"",""created"":""Sat, 27 Feb 1999 03:46:21 GMT""}]","2007-05-23"
"astro-ph/9902379","Bruce T. Draine","B. T. Draine (Princeton Univ.), F. Bertoldi (Max Planck Inst.)","Heating the Gas in Photodissociation Fronts","Latex, 7 pages, 8 figs, uses iso98.sty (included). To appear in The
  Universe as Seen by ISO",,,"Princeton Obs. Preprint POPe-784","astro-ph",,"  ISO has provided us with a new perspective on gas temperatures in
photodissociation regions through measurements of line emission from
rotationally-excited levels of the H_2 molecule. The H_2 rotational level
populations provide a thermal probe, showing that gas temperatures T_gas approx
500-1000 K prevail in a portion of the PDR where significant quantities of H_2
are present. Such high gas temperatures were unexpected. Theoretical models for
the S140 PDR are presented. Possible mechanisms for heating the gas to such
high temperatures are discussed.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:37:01 GMT""}]","2007-05-23"
"astro-ph/9902380","Marcio Roberto de Garcia Maia","M. R. de Garcia Maia, J. C. Carvalho, and C. S. da C\^amara Neto
  (Universidade Federal do Rio Grande do Norte, Natal, RN, Brazil)","Quantum corrections to Maxwell electrodynamics in a homogeneous and
  isotropic universe with cosmological constant","14 pages, including 5 figures, uses REVTEX, submitted to Physical
  Review D",,,,"astro-ph",,"  Some cosmological consequences of first order quantum corrections to Maxwell
electrodynamics are investigated in the context of a spatially flat homogeneous
and isotropic universe driven by a magnetic field plus a cosmological term
$\Lambda$. For a vanishing $\Lambda$, we derive the general solution
corresponding to the particular one recently found by Novello et al.
[gr-qc/9806076]. We also find a general solution for the case when $\Lambda$ is
a non-vanishing constant. Both solutions describe a non-singular, bouncing
universe. However, we show that the first order correction to the
electromagnetic Lagrangean density, in which the analysis is based, fails to
describe the dynamics near $a_{min}$. The time range where the first order
approximation can be used is explicitly evaluated. These problems my be
circumvented through the use of higher order terms in the effective Lagrangean,
as numerical calculations performed by Novello et al. [gr-qc/9809080], for the
vanishing $\Lambda$ case, have indicated. A third general solution
corresponding to a constant magnetic field sustained by a time dependent
$\Lambda$ is derived. This latter solution is capable of describing the whole
cosmic history and describes a universe that, although with vanishing curvature
(K=0), has a scale factor that reaches a maximum and then contracts back to an
arbitrarilly small size. The cosmological term decays during the initial
expansion phase and increases during the late contraction phase, so as to keep
$B$ constant throughout.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:12:42 GMT""}]","2007-05-23"
"astro-ph/9902381","Sofia Feltzing","Sofia Feltzing (1, 2, and 4), Gerard Gilmore (2), Rosemary F.G. Wyse
  (3) ((1) RGO (2) Institute of Astronomy (3) The Johns Hopkins University (4)
  Lund Observatory)","The Faint Optical Stellar Luminosity Function in the Ursa Minor Dwarf
  Spheroidal Galaxy","Accepted for publication in ApJ Letters",,"10.1086/311988",,"astro-ph",,"  Analyses of their internal stellar kinematics imply that the dwarf spheroidal
(dSph) companion galaxies to the Milky Way are among the most dark-matter
dominated systems known. Should there be significant dark matter in the form of
faint stars in these systems, the stellar luminosity function must be very
different from that of a similar metallicity globular cluster, for which there
is no evidence for dark matter. We present the faint stellar luminosity
function in the Ursa Minor dSph, down to a luminosity corresponding to roughly
0.45 M_sun, derived from new deep HST/WFPC2 data. We find a remarkable
similarity between this luminosity function, and inferred initial mass
function, and that of the globular cluster M92, a cluster of similar age and
metallicity to the Ursa Minor dSph.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:16:22 GMT""}]","2009-10-31"
"astro-ph/9902382","Krzysztof Stanek","J. Kaluzny, B. J. Mochejska (Warsaw), K. Z. Stanek, M. Krockenberger,
  D. D. Sasselov (CfA), J. L. Tonry (Hawaii), M. Mateo (Michigan)","DIRECT Distances to Nearby Galaxies Using Detached Eclipsing Binaries
  and Cepheids. IV. Variables in the Field M31D","submitted to the Astronomical Journal, 30 pages, 20 figures; paper
  and data available at ftp://cfa-ftp.harvard.edu/pub/kstanek/DIRECT/ and
  through WWW at http://cfa-www.harvard.edu/~kstanek/DIRECT/","Astron.J. 118 (1999) 346","10.1086/300946",,"astro-ph",,"  We undertook a long term project, DIRECT, to obtain the direct distances to
two important galaxies in the cosmological distance ladder -- M31 and M33 --
using detached eclipsing binaries (DEBs) and Cepheids. While rare and difficult
to detect, DEBs provide us with the potential to determine these distances with
an accuracy better than 5%. The extensive photometry obtained in order to
detect DEBs provides us with good light curves for the Cepheid variables. These
are essential to the parallel project to derive direct Baade-Wesselink
distances to Cepheids in M31 and M33. For both Cepheids and eclipsing binaries,
the distance estimates will be free of any intermediate steps.
  As a first step in the DIRECT project, between September 1996 and October
1997 we obtained 95 full/partial nights on the F. L. Whipple Observatory 1.2 m
telescope and 36 full nights on the Michigan-Dartmouth-MIT 1.3 m telescope to
search for DEBs and new Cepheids in the M31 and M33 galaxies. In this paper,
fourth in the series, we present the catalog of variable stars, most of them
newly detected, found in the field M31D $[(\alpha,\delta)= (11.\arcdeg03,
41.\arcdeg27), J2000.0]$. We have found 71 variable stars: 5 eclipsing
binaries, 38 Cepheids and 28 other periodic, possible long period or
non-periodic variables. The catalog of variables, as well as their photometry
and finding charts, is available via anonymous ftp and the World Wide Web. The
complete set of the CCD frames is available upon request.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 19:28:18 GMT""},{""version"":""v2"",""created"":""Sat, 27 Feb 1999 13:55:24 GMT""}]","2009-10-31"
"astro-ph/9902383","Rudy Wijnands","Rudy Wijnands & Michiel van der Klis","The discovery of a 7-14 Hz Quasi-Periodic Oscillation in the X-ray
  Transient XTE J1806-246","Accepted for publication in ApJ Main Journal (14 April 1999). Only
  minor changes to the text and to some of the figures",,"10.1086/307698",,"astro-ph",,"  We have studied the correlated X-ray spectral and X-ray timing behavior of
the X-ray transient XTE J1806-246 using data obtained with the proportional
counter array onboard the Rossi X-ray Timing Explorer. In the X-ray color-color
diagram two distinct patterns are traced out. The first pattern is a curved
branch, which is observed during the rise and the decay of the outburst. This
pattern resembles the so-called banana branch of those low-luminosity neutron
star low-mass X-ray binaries (LMXBs) which are referred to as atoll sources.
The power spectrum of XTE J1806-246 on this curved branch consisted of a power
law and a cutoff power law component. The presence of these components and
their dependence on position of the source on the branch is also identical to
the behavior of atoll sources on the banana branch. Near the end of it outburst
XTE J1806-246 formed patches in the color-color diagram, the spectrum was
harder, and the power spectrum showed strong band limited noise, characteristic
of the atoll sources in the island state. A second pattern was traced out
during the only observation at the peak of the outburst. It consists of a
structure which we interpret as formed by two distinct branches. This pattern
resembles the normal-flaring branches of the high-luminosity neutron star LMXBs
(the Z sources). The discovery of a 7-14 Hz QPO during this observation
strengthens this similarity. We conclude that if XTE J1806-246 is a neutron
star, it is most likely an atoll source that only at the peak of its outburst
reached a luminosity level sufficiently high to show the type of QPO that Z
sources who on their normal and flaring branches.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 19:37:35 GMT""},{""version"":""v2"",""created"":""Sun, 18 Apr 1999 12:44:45 GMT""}]","2009-10-31"
"astro-ph/9902384","Avery Meiksin","A Meiksin (U. of Edinburgh)","The Dark Ages: Searching for the Epoch of First Light","11 pages, 4 figures. Invited review for the Square Kilometre Array
  Radio Telescope Science Case, ed. R. Braun and A. R. Taylor",,,,"astro-ph",,"  Prior to the epoch of full reionization, the intergalactic medium and
gravitationally collapsed systems will be detectable in 21-cm radiation.
Physical mechanisms that would produce a 21-cm signature are discussed. These
include Lya coupling of the hydrogen spin temperature to the kinetic
temperature of the gas resulting from the radiation by an early generation of
stars, preheating by soft x-rays from collapsing dark matter halos, and
preheating by ambient Lya photons. A patchwork of either 21-cm emission, or
absorption against the Cosmic Microwave Background, will result. Large radio
telescopes like the Giant Metre Wavelength Telescope (GMRT) or a Square
Kilometre Array Radio Telescope (SKA) offer the prospect of measuring this
signature, and so detecting the transitional epoch from a dark universe to one
with light.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:24:06 GMT""}]","2007-05-23"
"astro-ph/9902385","Jason Fiege","Jason D. Fiege, Ralph E. Pudritz (McMaster University)","Helical Fields and Filamentary Molecular Clouds II - Axisymmetric
  Stability and Fragmentation","16 pages with 18 eps figures. Submitted to MNRAS",,"10.1046/j.1365-8711.2000.03067.x",,"astro-ph",,"  In Paper I (Fiege & Pudritz, 1999), we constructed models of filamentary
molecular clouds that are truncated by a realistic external pressure and
contain a rather general helical magnetic field. We address the stability of
our models to gravitational fragmentation and axisymmetric MHD-driven
instabilities. By calculating the dominant modes of axisymmetric instability,
we determine the dominant length scales and growth rates for fragmentation. We
find that the role of pressure truncation is to decrease the growth rate of
gravitational instabilities by decreasing the self-gravitating mass per unit
length. Purely poloidal and toroidal fields also help to stabilize filamentary
clouds against fragmentation. The overall effect of helical fields is to
stabilize gravity-driven modes, so that the growth rates are significantly
reduced below what is expected for unmagnetized clouds. However, MHD
``sausage'' instabilities are triggered in models whose toroidal flux to mass
ratio exceeds the poloidal flux to mass ratio by more than a factor of $\sim
2$. We find that observed filaments appear to lie in a physical regime where
the growth rates of both gravitational fragmentation and axisymmetric
MHD-driven modes are at a minimum.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 22:52:11 GMT""}]","2009-10-31"
