"adap-org/9903006","James P. Crutchfield","Erik van Nimwegen, James P. Crutchfield, and Martijn Huynen","Neutral Evolution of Mutational Robustness","7 pages, 3 figures",,"10.1073/pnas.96.17.9716","Santa Fe Institute Working Paper 99-03-021","adap-org nlin.AO q-bio.PE",,"  We introduce and analyze a general model of a population evolving over a
network of selectively neutral genotypes. We show that the population's limit
distribution on the neutral network is solely determined by the network
topology and given by the principal eigenvector of the network's adjacency
matrix. Moreover, the average number of neutral mutant neighbors per individual
is given by the matrix spectral radius. This quantifies the extent to which
populations evolve mutational robustness: the insensitivity of the phenotype to
mutations. Since the average neutrality is independent of evolutionary
parameters---such as, mutation rate, population size, and selective
advantage---one can infer global statistics of neutral network topology using
simple population data available from {\it in vitro} or {\it in vivo}
evolution. Populations evolving on neutral networks of RNA secondary structures
show excellent agreement with our theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:49:53 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 23:01:47 GMT""}]","2009-10-31"
"astro-ph/9903278","David Buote","David A. Buote (UC Santa Cruz)","X-Ray Evidence for Multiphase Hot Gas with Nearly Solar Fe Abundances in
  the Brightest Groups of Galaxies","26 pages (6 figures), To Appear in MNRAS. Revised version contains
  more discussion of abundance gradients (see new section 4.1)","Mon.Not.Roy.Astron.Soc. 311 (2000) 176","10.1046/j.1365-8711.2000.03046.x",,"astro-ph",,"  We analyze the ASCA spectra accumulated within ~100 kpc radii of 12 of the
brightest groups of galaxies. Upon fitting isothermal models (1T) jointly to
the ASCA SIS and GIS spectra we obtain fits for most groups that are of poor or
at best marginal quality and give very sub-solar metallicities similar to
previous studies, <Z> = 0.29 +/- 0.12 Z_sun. Two-temperature models (2T)
provide significantly better fits for 11 out of the 12 groups and in every case
have metallicities that are substantially larger than obtained for the 1T
models, <Z> = 0.75 +/- 0.24 Z_sun. Although not very well constrained, for most
of the groups absorption in excess of the Galactic value is indicated for the
cooler temperature component of the 2T models. A simple multiphase cooling flow
model gives results analogous to the 2T models including large metallicities,
<Z> = 0.65 +/- 0.17 Z_sun. The nearly solar Fe abundances and also solar
alpha/Fe ratios indicated by the 2T and cooling flow models are consistent with
models of the chemical enrichment of ellipticals, groups, and clusters which
assume ratios of Type Ia to Type II supernova and an IMF similar to those of
the Milky Way.
  Thus, we have shown that the very sub-solar Fe abundances and Si/Fe
enhancements obtained from most previous studies within r ~100 kpc of galaxy
groups are an artifact of their fitting isothermal models to the X-ray spectra
which also has been recently demonstrated for the brightest elliptical
galaxies. Owing to the importance of these results for interpreting X-ray
spectra, in an appendix we use simulated ASCA observations to examine in detail
the ``Fe bias'' and ``Si bias'' associated with the spectral fitting of
ellipticals, groups, and clusters of galaxies.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:02:47 GMT""},{""version"":""v2"",""created"":""Fri, 27 Aug 1999 19:31:43 GMT""}]","2016-08-30"
"astro-ph/9903286","Diego Malquori","A. Cavaliere, D. Malquori","The Evolution of the BL Lacertae Objects","5 pages, 2 figures, uses emulateapj.sty, accepted for publication in
  ApJ Letters. Minor typos corrected",,"10.1086/311984","IAP199903002","astro-ph",,"  The BL Lac population is set apart from the rest of the active galactic
nuclei by a number of peculiar features, including remarkably little signs of
cosmological evolution. We focus on this feature, and take hint from the
observations to reconsider extraction of the primary energy from a Kerr hole
via the Blandford-Znajek (BZ) process; in fact, we stress how this can power
the emitting jets of the BL Lac objects in a regime of low accretion. We show
that the timescale for the BZ process to exhaust the rotational energy of the
hole spans many gigayears in all such sources. We compute scales long and
uniform enough to yield an intrinsically slow population evolution, giving rise
to number counts of ``Euclidean'' or flatter shape; even longer timescales
apply to the additional, analogous process involving the inner accretion disk
directly. Such slow evolution takes place in ambients and at epochs (z \lsim 1)
where interactions of the host galaxies with companions become rare or weak. On
the other hand, at higher z, we argue that frequent interactions of the hosts
within groups enhanced, each for some 10^{-1} Gyr, the accretion rates and the
emissions from the disks, attaining power levels that are typical of the
radio-loud quasars. But such interactions were also likely to disorder the
large-scale magnetic field in the disk and to decrease angular momentum of the
hole, thus limiting the lifetime of all BZ emissions to under a few gigayears.
Then the stronger evolution of the flat-spectrum radio-loud quasars was driven,
similar to the radio-quiet ones, by the interaction rate decreasing rapidly
with z.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:52:56 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 1999 17:26:05 GMT""}]","2009-10-31"
"astro-ph/9903287","Sergei Y. Sazonov","S.Y. Sazonov, R.A. Sunyaev","Microwave polarization in the direction of galaxy clusters induced by
  the CMB quadrupole anisotropy","8 pages, 5 figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 310 (1999) 765-772","10.1046/j.1365-8711.1999.02981.x",,"astro-ph",,"  Electron scattering induces a polarization in the cosmic microwave background
(CMB) signal measured in the direction of a galaxy cluster due to the presence
of a quadrupole component in the CMB temperature distribution. Measuring the
polarization towards distant clusters provides the unique opportunity to
observe the evolution of the CMB quadrupole at moderate redshifts, z~0.5-3. We
demonstrate that for the local cluster population the polarization degree will
depend on the cluster celestial position. There are two extended regions in the
sky, which are opposite to each other, where the polarization is maximal,
0.1(tau/0.02) microK in the Rayleigh-Jeans part of the CMB spectrum (tau being
the Thomson optical depth across the cluster) exceeding the contribution from
the cluster transverse peculiar motion if v_t<1300 km/s. One can hope to detect
this small signal by measuring a large number of clusters, thereby effectively
removing the systematic contribution from other polarization components
produced in clusters. These polarization effects, which are of the order of
(v_t/c)^2 tau, (v_t/c) tau^2 and (kT_e/m_ec^2) tau^2, as well as the
polarization due to the CMB quadrupole, were previously calculated by Sunyaev
and Zel'dovich for the Rayleigh-Jeans region. We fully confirm their earlier
results and present exact frequency dependencies for all these effects. The
polarization is considerably higher in the Wien region of the CMB spectrum.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:32:59 GMT""}]","2009-10-31"
"astro-ph/9903288","Dr A. W. Longbottom","A. W. Longbottom, G. J. Rickard, I. J. D. Craig and A. D. Sneyd","Magnetic Flux Braiding: Force-Free Equilibria and Current Sheets","13 pages, 12 figures","Astrophys.J. 500 (1998) 471-482","10.1086/305694",,"astro-ph",,"  We use a numerical nonlinear multigrid magnetic relaxation technique to
investigate the generation of current sheets in three-dimensional magnetic flux
braiding experiments. We are able to catalogue the relaxed nonlinear force-free
equilibria resulting from the application of deformations to an initially
undisturbed region of plasma containing a uniform, vertical magnetic field. The
deformations are manifested by imposing motions on the bounding planes to which
the magnetic field is anchored. Once imposed the new distribution of magnetic
footpoints are then taken to be fixed, so that the rest of the plasma must then
relax to a new equilibrium configuration. For the class of footpoint motions we
have examined, we find that singular and nonsingular equilibria can be
generated. By singular we mean that within the limits imposed by numerical
resolution we find that there is no convergence to a well-defined equilibrium
as the number of grid points in the numerical domain is increased. These
singular equilibria contain current ""sheets"" of ever-increasing current
intensity and decreasing width; they occur when the footpoint motions exceed a
certain threshold, and must include both twist and shear to be effective. On
the basis of these results we contend that flux braiding will indeed result in
significant current generation. We discuss the implications of our results for
coronal heating.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:05:35 GMT""}]","2009-10-31"
"astro-ph/9903289","Ingrid Stairs","I. H. Stairs, D. J. Nice, S. E. Thorsett, J. H. Taylor","Recent Arecibo Timing of the Relativistic Binary PSR B1534+12","Acknowledgments expanded. 9 pages. Talk given at ""Gravitational Waves
  and Experimental Gravity,"" XXXIV Rencontres de Moriond, January 23-30, 1999",,,,"astro-ph",,"  We present a new timing solution for PSR B1534+12, based on
coherently-dedispersed observations at Jodrell Bank and, recently, Arecibo. The
new data have resulted in improved measurements of the post-Keplerian timing
parameters, including the orbital period derivative. At present, the
poorly-known distance to the pulsar limits the precision of the measurement of
the intrinsic orbital period derivative, and hence the strength of the test of
general relativity that results from this binary system. By assuming that
general relativity is the correct theory of gravity, we may invert the test and
find an improved value of the pulsar distance.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:46:15 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 1999 14:28:59 GMT""}]","2007-05-23"
"astro-ph/9903290","Ingrid Stairs","I. H. Stairs, A. G. Lyne, F. Camilo, N. P. F. McKay, D. C. Sheppard,
  D. J. Morris, R. N. Manchester, J. F. Bell, V. M. Kaspi, F. Crawford, N.
  D'Amico","The Parkes Multibeam Pulsar Survey","6 pages. Talk given at ""Gravitational Waves and Experimental
  Gravity,"" XXXIV Rencontres de Moriond, January 23-30, 1999","AIP Conf.Proc.599:598-601,1999",,,"astro-ph",,"  The Parkes multibeam pulsar survey is a high-frequency, fast-sampled survey
of the Galactic Plane, expected to discover at least 500 new pulsars. To date,
over 200 pulsars have been found, including several young pulsars and at least
one with a very high magnetic field. Seven of the new stars are in binary
systems; this number includes one probable double-neutron-star system, and one
pulsar with an extremely massive companion.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 19:14:42 GMT""}]","2010-12-13"
"astro-ph/9903291","George B. Rybicki","George B. Rybicki & Abraham Loeb","Polarization of the \lya Halos Around Sources Before Cosmological
  Reionization","8 pages, 2 Postscript figures, accepted by Astrophysical Journal
  Letters; some typos corrected; added two paragraphs at the end of section 3
  concerning detectability of Lyman alpha halos",,"10.1086/312155",,"astro-ph",,"  In Loeb & Rybicki (1999; paper I) it was shown that before reionization, the
scattering of \lya photons from a cosmological source might lead to a fairly
compact ($\sim 15''$) \lya halo around the source. Observations of such halos
could constrain the properties of the neutral intergalactic medium (IGM), and
in particular yield the cosmological density parameters of baryons and matter
on scales where the Hubble flow is unperturbed. Paper I did not treat the
polarization of this scattered radiation, but did suggest that the degree of
such polarization might be large. In this Letter we report on improved
calculations for these \lya halos, now accounting for the polarization of the
radiation field. The polarization is linear and is oriented tangentially to the
projected displacement from the center of the source. The degree of
polarization is found to be 14% at the core radius, where the intensity has
fallen to half of the central value. It rises to 32% and 45% at the radii where
the intensity has fallen to one-tenth and one-hundreth of the central
intensity, respectively. At larger radii the degree of polarization rises
further, asymptotically to 60%. Such high values of polarization should be
easily observable and provide a clear signature of the phenomenon of \lya halos
surrounding sources prior to reionization.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 20:10:29 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jun 1999 19:11:20 GMT""}]","2009-10-31"
"astro-ph/9903292","Ricardo A. Flores","R. A. Flores (University of Missouri-St. Louis), H. Quintana (PUC
  Santiago, Chile), M. J. Way (Princeton University)","Deconstructing A3266: A Major Merger in a Quiet Cluster","21 pages, 13 figures, uses aasms4.sty, submitted to ApJ",,"10.1086/308539",,"astro-ph",,"  We present results of simple N-body simulations that strengthen the
suggestion that A3266 is composed of two subunits of comparable mass that have
recently merged. Both the real cluster and the N-body dark-matter cluster show
mixed signals of substructure under statistical tests. However, in a decidedly
non-statistical approach allowed by the wide-area coverage and large number of
redshifts they measured in A3266, Quintana, Ramirez, and Way (1996; QRW) sliced
the real cluster in redshift space to uncover a peculiar spatial distribution
of galaxies that they suggested was the result of a recent merger. In our
simulations, a similar distribution is the result of an ongoing merger between
two comparable-mass units that started about 2x10^9 years ago in the N-body
simulations. We also find that the distribution of emission line galaxies in
A3266 traces the same structure. We discuss further tests of our merger
hypothesis, and speculate on the possibility that a similar process might be
occurring in other, apparently-relaxed clusters at the present epoch.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:01:39 GMT""}]","2009-10-31"
"astro-ph/9903293","Bahram Mobasher","B. Mobasher (1), L. Cram (2), A. Georgakakis (1) and A. Hopkins (2)
  ((1) Imperial College (2) University of Sydney)","The 1.4 GHz and Halpha Luminosity Functions and Star Formation Rates
  from Faint Radio Galaxies","21 Pages, 8 Figures, in LaTex; Accepted for publication in the
  Monthly Notices Repoprt-no: 99/3",,"10.1046/j.1365-8711.1999.02700.x",,"astro-ph",,"  Using a recently completed survey of faint (sub-mJy) radio sources, selected
at 1.4 GHz, a dust-free estimate of the local star formation rate (SFR) is
carried out. The sample is 50% complete to 0.2 mJy, with over 50% of the radio
sources having optical counterparts brighter than R = 21.5. Spectroscopic
observations of 249 optically identified radio sources have been made, using
the 2-degree Field (2dF) facility at the Anglo-Australian Telescope (AAT).
Redshifts and equivalent widths of several spectral features (e.g., H\alpha and
[OII]3727) sensitive to star formation have been measured and used to identify
the star-forming and absorption-line systems. The spectroscopic sample is
corrected for incompleteness and used to estimate the 1.4 GHz and H\alpha
luminosity functions (LFs) and luminosity density distributions. The 1.4 GHz LF
of the star-forming population has a much steeper faint-end slope (1.85) than
that for the ellipticals (1.35). This implies an increasing preponderance of
star-forming galaxies among the optically identified (i.e., z < 1) radio
sources at fainter flux densities. The H\alpha LF of the faint radio population
agrees with published H\alpha LFs derived from local samples selected by
H\alpha emission. This suggests that the star-forming faint radio population is
coincident with the H\alpha selected galaxies. The 1.4 GHz and H\alpha
luminosity densities have been used to estimate the SFRs. The two estimates
agree, both giving a SFR density of $0.032 M_\odot yr^{-1} Mpc^{-3}$ in the
range z < 1.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:29:18 GMT""}]","2009-10-31"
"astro-ph/9903294","Richard C. Henry","Richard C. Henry","Diffuse Background Radiation","Nine pages and one figure",,"10.1086/312003",,"astro-ph",,"  A new determination of the upper limit to the cosmic diffuse background
radiation, at ~110 nm, of 300 photons s-1 cm-2 sr-1 nm-1, is placed in the
context of diffuse background measurements across the entire electromagnetic
spectrum, including new optical, infrared, visible, and gamma-ray background
measurements. The possibility that observed excess diffuse visible radiation is
due to redshifted cosmological Lyman alpha recomination radiation is explored.
Also, a new standard of units for the display of spectra is advocated.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:45:20 GMT""}]","2009-10-31"
