"adap-org/9904004","Andreas Pedersen","Paolo Sibani, Andreas Pedersen","Evolution dynamics in terraced NK landscapes","8 pages with 4 figures. Accepted in Europhys. Lett","Europhysics Lett. 48, 346-352 (1999)","10.1209/epl/i1999-00487-7",,"adap-org nlin.AO q-bio",,"  We study populations of agents evolving in fitness landscapes constructed
according to the rules of a modified NK model with a tunable amount of neutral
paths. In the `punctuated equilibrium' regime evolutionary events are
identified as jumps in the mean population fitness, and the statistics of these
jumps in an ensemble of independently evolving populations is analyzed. We show
that, for a wide range of landscapes parameters, the number of events in time t
is Poisson distributed, with the time parameter replaced by the logarithm of
time. This simple log-Poisson statistics likewise describes the number n of
records in any sequence of t independently generated random numbers. The
implications of this behavior for evolution dynamics are discussed.
","[{""version"":""v1"",""created"":""Fri, 16 Apr 1999 12:52:33 GMT""},{""version"":""v2"",""created"":""Wed, 13 Oct 1999 14:36:18 GMT""}]","2009-10-31"
"astro-ph/9904197","Nicole Homeier","N. L. Homeier, J. S. Gallagher III (UW-Madison)","Kinematics and Structure of the Starburst Galaxy NGC 7673","16 pages, 7 figures, to appear in the September 1, 1999 issue of the
  Astrophysical Journal",,"10.1086/307616",,"astro-ph",,"  The morphology and kinematics of the luminous blue starburst galaxy NGC 7673
are explored using the WIYN 3.5m telescope. Signs of a past kinematic
disturbance are detected in the outer galaxy; the most notable feature is a
luminous ripple located 1.55 arc minutes from the center of NGC 7673. Sub-arc
second imaging in B and R filters also reveals red dust lanes and blue star
clusters that delineate spiral arms in the bright inner disk and narrow band
Halpha imaging shows that the luminous star clusters are associated with giant
H II regions. The Halpha kinematics measured with echelle imaging spectroscopy
using the WIYN DensePak fiber array imply that these HII regions are confined
to a smoothly rotating disk. The velocity dispersion in ionized gas in the disk
is approximately 24 km/s, which sets an upper bound on the dispersion of young
stellar populations. Broad emission components with velocity dispersion approx.
63 km/s are found in some regions are likely produced by mechanical power
supplied by massive, young stars; a violent starburst is occurring in a
kinematically calm disk. Although the asymmetric outer features point to a
merger or interaction as the starburst trigger, the inner disk structure
constrains the strength of the event to the scale of a minor merger or weak
interaction that occurred at least an outer disk dynamical time scale in the
past.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 16:45:12 GMT""}]","2009-10-31"
"astro-ph/9904199","Gerardo Iovane","S.Capozziello, G.Iovane, G.Lambiase, C.Stornaiolo","Fermion Helicity Flip Induced by Torsion Field","6 pages, to appear in Europhysics Letters","Europhys.Lett. 46 (1999) 710-715","10.1209/epl/i1999-00323-8",,"astro-ph gr-qc",,"  We show that in theories of gravitation with torsion the helicity of fermion
particles is not conserved and we calculate the probability of spin flip, which
is related to the anti-symmetric part of affine connection. Some cosmological
consequences are discussed.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 16:00:22 GMT""}]","2009-10-31"
"astro-ph/9904200","Herman Mosquera Cuesta","Herman J. Mosquera Cuesta (ICTP)","Gravitational-Wave Bursts Induced by Neutrino Oscillations: The Origin
  of Asymmetry in Supernovae Explosions","5 pages",,,,"astro-ph",,"  If neutrino flavor changes really exist, to say: $\mu$-neutrino oscillating
into a sterile neutrino, then, it can be expected that due to neutrino
oscillations and non-spherical distortion of the resonance surface induced by
the magnetic field, some asymmetric emission of sterile neutrinos can occur
during the protoneutron star formation at the onset of a supernova
core-collapse. Assuming no strong suppression of the oscillations, the
non-spherical huge neutrino energies released, ($\sim 10^{53-54} erg$),
together with the proto-neutron star rapid rotation, may trigger powerful
bursts of gravitational waves by the time neutrino flavor conversions ensue. I
show here that these bursts are detectable by the new generation of
gravitational-wave detectors as LIGO, VIRGO and TIGAs for distance scales $\sim
10 kpc$. It is also argued that the general relativity requirement of an
ellipsoidal axisymmetric core at maximum gravitational-wave emission induced by
$\nu$-luminosity can properly be afforded by the neutrino-sphere geometry when
the oscillations onset. The connection of neutrino oscillations with the
supernova asymmetry and bi-polar jets ejecta is shown naturally to appear in
this scenario.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 16:44:04 GMT""}]","2007-05-23"
"astro-ph/9904201","Alexander Kudryashov","A.D.Kudryashov, N.N.Chugai, A.V.Tutukov","Synthesis of radioactive nuclei and gamma-line radiation from novae","5 pages, 2 figures; Proceedings of the International Conference in
  honour of Professor A.G.Massevitch's 80th birthday held in Zvenigorod,
  Russia, 13-15 October, 1998","AIP Conf.Proc.510:102-106,2004",,,"astro-ph",,"  We carried out kinetic calculations of thermonuclear burning in the
hydrogen-rich matter to simulate nucleosynthesis yields in nova outbursts.
These results are used to calculate the light curves of annihilation gamma-ray
line from N, O and F radioactive isotopes.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 16:56:00 GMT""}]","2010-12-13"
"astro-ph/9904202","Joseph L. Hora","Joseph L. Hora, William B. Latter, Lynne K. Deutsch","Investigating the Near-Infrared Properties of Planetary Nebula II.
  Medium Resolution Spectra","13 pages, 8 tables, 33 figures","Astrophys.J.Suppl. 124 (1999) 195-240","10.1086/313256",,"astro-ph",,"  We present medium-resolution (R~700) near-infrared (lambda = 1 - 2.5 micron)
spectra of a sample of planetary nebulae (PNe). A narrow slit was used which
sampled discrete locations within the nebulae; observations were obtained at
one or more positions in the 41 objects included in the survey. The PN spectra
fall into one of four general categories: H I emission line-dominated PNe, H I
and H_2 emission line PNe, H_2-dominated PNe, and continuum-dominated PNe.
These categories correlate with morphological type, with the elliptical PNe
falling into the first group, and the bipolar PNe primarily in the H_2 and
continuum emission groups. Other spectral features were observed in all
categories, such as continuum emission from the central star, C_2, CN, and CO
emission, and warm dust continuum emission.
  Molecular hydrogen was detected for the first time in four PNe. An excitation
analysis was performed using the H_2 line ratios for all of the PN spectra in
the survey where a sufficient number of lines were observed. One unexpected
result from this analysis is that the H_2 is excited by absorption of
ultraviolet photons in most of the PNe surveyed, although for several PNe in
our survey collisional excitation in moderate velocity shocks plays an
important role. The correlation between bipolar morphology and H_2 emission has
been strengthened with the new detections of H_2 in this survey.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 18:21:33 GMT""}]","2009-10-31"
"astro-ph/9904203","P. Marziani","J. W. Sulentic and P. Marziani","The Intermediate Line Region in AGN: a region ""praeter necessitatem""?","3 Figs. 1 Table, accepted for publication in Astrophysical Journal
  Letters",,"10.1086/312060",,"astro-ph",,"  As a consequence of improved S/N, spectral resolution and wavelength coverage
various authors have introduced, without strong justification, new emitting
regions to account for various emission line profile differences in AGN. The
so-called CIVlambda1549 intermediate line region (ILR) appears to be especially
ill-defined. We present observational evidence that suggests the ILR is
statistically indistinguishable from the classical narrow line region (NLR). We
present the results of theoretical models showing that a smooth density
gradient in the NLR can produce CIV and Balmer emission lines with different
widths. The putative ILR component has often been included with the broad line
profile in studies of CIV BLR properties. Failure to account for the composite
nature of CIV emission, and for the presence of sometimes appreciable NLR CIV
emission, has important consequences for our understanding of the BLR.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 20:09:11 GMT""}]","2009-10-31"
"astro-ph/9904204","Markus Landgraf","Markus Landgraf, Michael M\""uller, and Eberhard Gr\""un","Prediction of the In-Situ Dust Measurements of the Stardust Mission to
  Comet 81P/Wild 2","42 pages, 21 figures, 5 tables, uses LaTeX 2e and epsf.sty, to appear
  in Planetary and Space Science",,"10.1016/S0032-0633(99)00031-8",,"astro-ph",,"  We predict the amount of cometary, interplanetary, and interstellar cosmic
dust that is to be measured by the Cometary and Interstellar Dust Analyzer
(CIDA) and the aerogel collector on-board the Stardust spacecraft during its
fly-by of comet P/Wild 2 and during the interplanetary cruise phase. We give
the dust flux on the spacecraft during the encounter with the comet using both,
a radially symmetric and an axially symmetric coma model. At closest approach,
we predict a total dust flux of $10^{6.0} m^{-2} s^{-1}$ for the radially
symmetric case and $10^{6.5} m^{-2} s^{-1}$ for the axially symmetric case.
This prediction is based on an observation of the comet at a heliocentric
distance of $1.7 {\rm AU}$. We reproduce the measurements of the Giotto and
VEGA missions to comet P/Halley using the same model as for the Stardust
predictions. The planned measurements of {\em interstellar} dust by Stardust
have been triggered by the discovery of interstellar dust impacts in the data
collected by the Ulysses and Galileo dust detector. Using the Ulysses and
Galileo measurements we predict that 25 interstellar particles, mainly with
masses of about $10^{-12} g$, will hit the target of the CIDA experiment. The
interstellar side of the aerogel collector will contain 120 interstellar
particles, 40 of which with sizes greater than $1 \mu m$. We furthermore
investigate the ``contamination'' of the CIDA and collector measurements by
interplanetary particles during the cruise phase.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 22:10:30 GMT""}]","2009-10-31"
"astro-ph/9904205","Lynn D. Matthews","Lynn D. Matthews (NRAO), John S. Gallagher, III, John E. Krist, Alan
  M. Watson, Christopher J. Burrows, Richard E. Griffiths, J. Jeff Hester, John
  T. Trauger, Gilda E. Ballester, John T. Clarke, David Crisp, Robin W. Evans,
  John G. Hoessel, Jon A. Holtzman, Jeremy R. Mould, Paul A. Scowen, Karl R.
  Stapelfeldt, James A. Westphal","WFPC2 Observations of Compact Star Cluster Nuclei in Low Luminosity
  Spiral Galaxies","to appear in the July 1999 Astronomical Journal; 38 pages (Latex), 5
  tables (postscript), 21 figures (gif); postscript versions of the figures may
  be obtained via anonymous ftp at
  ftp://ftp.cv.nrao.edu/NRAO-staff/lmatthew/lanl-nuclei",,"10.1086/300909",,"astro-ph",,"  We have used the Wide Field Planetary Camera 2 aboard the Hubble Space
Telescope to image the compact star cluster nuclei of the nearby, late-type,
low-luminosity spiral galaxies NGC 4395, NGC 4242, and ESO 359-029. We also
analyze archival WFPC2 observations of the compact star cluster nucleus of M33.
A comparative analysis of the structural and photometric properties of these
four nuclei is presented. All of the nuclei are very compact, with luminosity
densities increasing at small radii to the resolution limit of our data. NGC
4395 contains a Seyfert 1 nucleus with a distinct bipolar structure and bright
associated filaments which are likely due to [OIII] emission. The M33 nucleus
has a complex structure, with elongated isophotes and possible signatures of
weak activity, including a jet-like component. The other two nuclei are not
known to be active, but share similar physical size scales and luminosities to
the M33 and NGC 4395 nuclei. The circumnuclear environments of all four of our
program galaxies are extremely diffuse, have only low-to-moderate star
formation, and appear to be devoid of large quantities of dust. The central
gravitational potentials of the galaxies are also quite shallow, making the
origin of these types of `naked' nuclei problematic.
","[{""version"":""v1"",""created"":""Thu, 15 Apr 1999 22:41:16 GMT""}]","2012-08-27"
"astro-ph/9904206","Martin Bureau","E. Athanassoula and M. Bureau","Bar Diagnostics in Edge-On Spiral Galaxies. II. Hydrodynamical
  Simulations","25 pages (AASTeX, aaspp4.sty), 11 jpg figures. Accepted for
  publication in The Astrophysical Journal. Online manuscript with PostScript
  figures available at: http://www.strw.leidenuniv.nl/~bureau/pub_list.html",,"10.1086/307677",,"astro-ph",,"  We develop diagnostics based on gas kinematics to identify the presence of a
bar in an edge-on spiral galaxy and determine its orientation. We use
position-velocity diagrams (PVDs) obtained by projecting edge-on
two-dimensional hydrodynamical simulations of the gas flow in a barred galaxy
potential. We show that when a nuclear spiral is formed, the presence of a gap
in the PVDs, between the signature of the nuclear spiral and that of the outer
parts of the disk, reliably indicates the presence of a bar. This gap is due to
the presence of shocks and inflows in the simulations, leading to a depletion
of the gas in the outer bar region. If no nuclear spiral signature is present
in a PVD, only indirect arguments can be used to argue for the presence of a
bar. The shape of the signature of the nuclear spiral, and to a lesser extent
that of the outer bar region, allows to determine the orientation of the bar
with respect to the line-of-sight. The presence of dust can also help to
discriminate between viewing angles on either side of the bar. Simulations
covering a large fraction of parameter space constrain the bar properties and
mass distribution of observed galaxies. The strongest constraint comes from the
presence or absence of the signature of a nuclear spiral in the PVD.
","[{""version"":""v1"",""created"":""Fri, 16 Apr 1999 00:22:30 GMT""}]","2009-10-31"
"astro-ph/9904207","Angelo Loinger","A. Loinger (Dipartimento di Fisica, Universita' di Milano, Italy)","The gravitational waves are fictitious entities - II","5 pages, PDF from MS-Word97, replaced corrupted PDF file",,,,"astro-ph gr-qc",,"  Further arguments on the physical unreality of the gravitational waves of any
kind.
","[{""version"":""v1"",""created"":""Fri, 16 Apr 1999 13:23:39 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 06:39:26 GMT""}]","2007-05-23"
