"astro-ph/9905199","Paolo Tozzi","Paolo Tozzi(1,2), Piero Madau(1,3), Avery Meiksin(4), and Martin J.
  Rees(3) ((1) Space Telescope Science Institute; (2) The Johns Hopkins
  University; (3) Institute of Astronomy Madingley Road, Cambridge; (4)
  University of Edinburgh, Royal Observatory)","The First Light seen in the redshifted 21-cm radiation","8 pages, including 7 figures, to appear in: Proc. 19th Texas
  Symposium on Relativistic Astrophysics and Cosmology, Paris, France, Dec.
  1998",,,,"astro-ph",,"  We show how the investigation of the redshifted 21-cm radiation can give
insight into the development of structures in the early universe (at redshifts
z>5). In particular we investigate: the epoch of the first light; the
fluctuations in the redshifted 21-cm emission induced by the density
inhomogeneities in CDM dominated universes; the emission and absorption shells
that are generated around the first bright quasars. Such features can be
observed with the next generation radio facilities.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 02:34:41 GMT""}]","2007-05-23"
"astro-ph/9905200","Alexey Vikhlinin","A. Vikhlinin, W. Forman, C. Jones","Outer Regions of the Cluster Gaseous Atmospheres","ApJ in press, submitted 11/30/98",,"10.1086/307876",,"astro-ph",,"  We present a systematic study of the hot gas distribution in the outer
regions of regular clusters using ROSAT PSPC data. Outside the cooling flow
region, the beta-model describes the observed surface brightness closely, but
not precisely. Between 0.3 and 1 virial radii, the profiles are characterized
by a power law with slope, expressed in terms of the beta parameter, in the
range beta=0.65 to 0.85. The values of beta in this range of radii are
typically larger by ~0.05 than those derived from the global fit. There is a
mild trend for the slope to increase with temperature, from <beta>~0.68 for 3
keV clusters to ~0.8 for 10 keV clusters; however, even at high temperatures
there are clusters with flat gas profiles, 0.7. Our values of beta at large
radius are systematically higher, and the trend of beta with temperature is
weaker than was previously found; the most likely explanation is that earlier
studies were affected by an incomplete exclusion of the central cooling flow
regions. For our regular clusters, the gas distribution at large radii is quite
close to spherically symmetric and this is shown not to be an artifact of the
sample selection. The gas density profiles are very similar when compared in
the units of cluster virial radius. The radius of fixed mean gas overdensity
1000 (corresponding to the dark matter overdensity 200 for Omega=0.2) shows a
tight correlation with temperature, R~T**0.5, as expected from the virial
theorem for clusters with the universal gas fraction. At a given temperature,
the rms scatter of the gas overdensity radius is only ~7% which translates into
a 20% scatter of the gas mass fraction, including statistical scatter due to
measurement uncertainties.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 06:25:03 GMT""}]","2009-10-31"
"astro-ph/9905201","Tomas Dahlen","Tomas Dahlen and Claes Fransson (Stockholm Observatory)","Rates and redshift distribution of high-z supernovae","22 pages incl. 10 figures, accepted for publication in A & A.
  Correction on SN types p. 20, 3rd paragraph",,,,"astro-ph",,"  Using observed star formation rates at redshifts up to z ~ 5, we calculate
cosmic supernova rates for core collapse and Type Ia supernovae. Together with
supernova statistics and detailed light curves, we estimate the number of
supernovae, and their distribution in redshift, that should be detectable in
different filters with various instruments, including both existing and future
telescopes, in particular the NGST. We find that the NGST should detect several
tens of core collapse supernovae in a single frame. Most of these will be core
collapse supernovae with 1<lt> z <lt> 2, but about one third will have z > 2.
Rates at z > 5 are highly uncertain. For ground based 8-10 m class telescopes
we predict ~ 0.1 supernova per square arcmin to I_AB = 27, with about twice as
many core collapse SNe as Type Ia's. The typical redshift will be z ~ 1, with
an extended tail up to z ~ 2. Detectability of high redshift supernovae from
ground is highly sensitive to the rest frame UV flux of the supernova, where
line blanketing may decrease the rates severely in filters below 1 micron.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 09:55:51 GMT""},{""version"":""v2"",""created"":""Wed, 19 May 1999 14:38:49 GMT""}]","2007-05-23"
"astro-ph/9905202","Shude Mao","X.-Y. Xia, S. Mao, H. Wu, et al","The Nature of the Diffuse Clumps and the X-ray Companion of Mrk 273","ApJ, in press",,"10.1086/307828",,"astro-ph",,"  We present an optical spectrum for Mrk 273x, the X-ray source 1.3' to the
northeast of Mrk 273. The new spectrum indicates that the object is at a much
higher redshift (0.458) than the value (0.0376) previously reported. All the
detected emission lines show properties of Seyfert 2 galaxies. Mrk 273x has one
of the highest X-ray and radio luminosities L_x ~ 1.1 x 10^{44} erg/s, L_{1.37
GHz} ~ 2.0 x 10^{40} erg/s among Seyfert 2 galaxies, yet it has a low neutral
hydrogen column density, N_H ~ 4.4 x 10^{20}/cm^2. These properties seem
difficult to explain in the unified scheme of active galactic nuclei.
  The spectrum previously used to identify the redshift for Mrk 273x turns out
to be for diffuse clumps in the northeast tail/plume about 20'' (~20 kpc in
projected distance) from the nuclear region of Mrk 273. A new spectrum for this
region was obtained; this spectrum is essentially the same as the previous one.
These observations indicate that these clumps have the same redshift as Mrk 273
and are physically associated with the merger. The spectrum is dominated by
strong emission from the [O III] doublet with Seyfert 2-like line ratios, which
indicate that these northeast clumps are probably excited by the shock plus
precursor mechanism during the merging process. This mechanism may be operating
in other ultraluminous IRAS galaxies as well. (abridged)
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 09:33:25 GMT""}]","2009-10-31"
"astro-ph/9905203","Alejandro Oscoz","E. Mediavilla, M. Serra-Ricart, A. Oscoz, L.J. Goicoechea, J. Buitrago","Spectroscopy of the Lens Galaxy of Q0957+561A,B. Implications of a
  possible central massive dark object","20 pages, 10 figures ApJ, in press",,"10.1086/308473",,"astro-ph",,"  We present new long-slit William Herschel Telescope spectroscopic
observations of the lens galaxy G1 associated with the double-imaged QSO
0957+561A,B. The obtained central stellar velocity dispersion, sigma_l = 310
+/- 20 km/s, is in reasonable agreement with other measurements of this
dynamical parameter. Using all updated measurements of the stellar velocity
dispersion in the internal region of the galaxy (at angular separations < 1"".5)
and a simple isotropic model, we discuss the mass of a possible central massive
dark object. It is found that the data of Falco et al. (1997) suggest the
existence of an extremely massive object of (0.5-2.1) x 10E10/h M_\odot (80%
confidence level), whereas the inclusion of very recent data (Tonry & Franx
1998, and this paper) substantially changes the results: the compact central
mass must be $\le$ 6 x10E9/h M_\odot at the 90% confidence level. We note that,
taking into account all the available dynamical data, a compact nucleus with a
mass of 10E9/h M_\odot (best fit) cannot be ruled out.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 10:46:04 GMT""}]","2009-10-31"
"astro-ph/9905204","Armen Atoyan","A. M. Atoyan","Radio spectrum of the Crab nebula as an evidence for fast initial spin
  of its pulsar","4 pages, 3 figures; accepted for publication in A&A Letters",,,,"astro-ph",,"  The origin of relativistic electrons in the Crab nebula which are producing
the broad-band flat radio spectrum of this prototype plerion has proved
difficult to understand. Here I show that these electrons can be naturally
explained as a relic population of the pulsar wind electrons that have lost
most of their energy in the expanding nebula because of intensive radiative and
adiabatic cooling in the past. The observed radio spectrum suggests that the
initial slowing-down time of the pulsar was about 30 yrs (or less), which
implies that it has been born with a spin period P_0 ~ 3-5 ms, several times
shorter than presently believed. Consistency of these results with the current
data and the historical records is discussed.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 12:35:05 GMT""}]","2007-05-23"
"astro-ph/9905205","Matthew R. Burleigh","P.D. Dobbie, M.A. Barstow, M.R. Burleigh and I. Hubeny","Opacities along the line of sight to and in the atmosphere of the white
  dwarf in the close detached DAO+dM binary RE J0720-318 (V* IN CMa)","Accepted for publication in Astronomy and Astrophysics",,,,"astro-ph",,"  We present the results from a multi-wavelength study of the mixed H+He
composition DAO white dwarf RE J0720-318. A detailed analysis of UV and EUV
spectroscopic data with state-of-the-art non-LTE photospheric models
demonstrates that the observed opacity to EUV radiation probably results from a
more complex structure than a simple H+He, chemically layered atmosphere.
Instead, EUV photometry and phase resolved EUV spectroscopy indicate a likely
spatial non-uniformity in the surface distribution of helium, which is
consistent with a model in which material is accreted from the wind of the dM
secondary. The rotational modulation of the spatially inhomogeneous EUV opacity
allows us to estimate the rotation period of the white dwarf (0.463 +/- 0.004
days). We have also reviewed two plausible origins proposed by Burleigh et al.
(1997) and Dupuis et al. (1997) to account for the unusual N(HI)/N(HeI)~1 along
this line of sight. We conclude that it is probably due to the presence of a
cloud of ionized gas along this line of sight, rather than a circumbinary disk.
The cloud, residing between 123-170pc distant in the direction of the CMa ISM
tunnel, may be >40pc in length.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 12:47:41 GMT""}]","2007-05-23"
"astro-ph/9905206","Jose-Luis Gomez","Jose-Luis Gomez, Alan P. Marscher, Antonio Alberdi","Outburst in the Polarized Structure of the Compact Jet of 3C454.3","21 pages, 3 figures. Accepted in ApJ",,"10.1086/307645",,"astro-ph",,"  We present three-epoch polarimetric images of the quasar 3C 454.3 obtained
with the Very Long Baseline Array at 22 and 43 GHz. 22 GHz polarized intensity
images show a sudden change in the polarization structure of a bright eastern
component (which we call the ``core,'' although it may be neither at the
upstream end of the jet nor completely stationary) over a 41-day interval,
coincident with the ejection of a new component from the core, as resolved in
the corresponding 43 GHz images. This polarization outburst is also present at
43 GHz in both the core and the new component. This may represent a rapid
change in the electric vector position angle of the ejected component from
being orthogonal to almost parallel to that of the core. About seven months
later, the new component, moving superluminally at 2.9 \pm 0.4 h^{-1} c$
(q_{\circ}=0.5) relative to the core and 3.9 \pm 0.4 h^{-1} c$ relative to a
bright stationary component about 0.6 mas west of the core --- very low
compared with previous measurements --- is found at 43 GHz to exhibit a further
rotation of 90$^{\circ}$ in the orientation of its polarization. Opacity
effects may account for the first rotation, but changes in the magnetic field
of the component and/or that of the underlying jet in the inner milliarcsecond
structure of 3C 454.3 are needed to account for the second. Polarized intensity
images of the quasar 0420 - 014, used as a calibrator, are also presented. The
polarization position angle of the core rotated between late 1994 and late
1996.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 12:43:10 GMT""}]","2009-10-31"
"astro-ph/9905208","Hernan Muriel","M. Victoria Alonso, Carlos Valotto, Diego G. Lambas and Hernan Muriel","Velocity dispersion estimates of APM galaxy clusters","Accepted for publication in MNRAS",,"10.1046/j.1365-8711.1999.02716.x",,"astro-ph",,"  We present 83 new galaxy radial velocities in the field of 18 APM clusters
with redshifts between 0.06 and 0.13. The clusters have Abell identifications
and the galaxies were selected within 0.75 h$^{-1}$Mpc in projection from their
centers. We derive new cluster velocity dispersions for 13 clusters using our
data and published radial velocities.
  We analyze correlations between cluster velocity dispersions and cluster
richness counts as defined in Abell and APM catalogs. The correlations show a
statistically significant trend although with a large scatter suggesting that
richness is a poor estimator of cluster mass irrespectively of cluster
selection criteria and richness definition. We find systematically lower
velocity dispersions in the sample of Abell clusters that do not fulfill APM
cluster selection criteria suggesting artificially higher Abell richness counts
due to contamination by projection effects in this subsample.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 15:53:37 GMT""}]","2015-06-24"
"astro-ph/9905209","J. S. Kaastra","Jelle S. Kaastra, Richard Lieu, Jonathan P.D. Mittaz, Johan A.M.
  Bleeker, Rolf Mewe, Sergio Colafrancesco, Felix J. Lockman","High- and low energy nonthermal X-ray emission from the cluster of
  galaxies A 2199","Accepted for publication in Astrophysical Journal, Letters",,"10.1086/312112",,"astro-ph",,"  We report the detection of both soft and hard excess X-ray emission in the
cluster of galaxies A 2199, based upon spatially resolved spectroscopy with
data from the BeppoSAX, EUVE and ROSAT missions. The excess emission is visible
at radii larger than 300 kpc and increases in strength relative to the
isothermal component. The total 0.1-100 keV luminosity of this component is 15
% of the cluster luminosity, but it dominates the cluster luminosity at high
and low energies. We argue that the most plausible interpretation of the excess
emission is an inverse Compton interaction between the cosmic microwave
background and relativistic electrons in the cluster. The observed spatial
distribution of the non-thermal component implies that there is a large halo of
cosmic ray electrons between 0.5-1.5 Mpc surrounding the cluster core. The
prominent existence of this component has cosmological implications, as it is
significantly changing our picture of a clusters's particle acceleration
history, dynamics between the thermal and relativistic media, and total mass
budgets.
","[{""version"":""v1"",""created"":""Mon, 17 May 1999 14:29:54 GMT""}]","2009-10-31"
