"astro-ph/9905306","Fiona A. Harrison","F. A. Harrison, J. S. Bloom, D. A. Frail, R. Sari, S. R. Kulkarni, S.
  G. Djorgovski, T. Axelrod, J. Mould, B. P. Schmidt, M. H. Wieringa, R. M.
  Wark, R. Subrahmanyan, D. McConnell, P. J. McCarthy, B. E. Schaefer, R. G.
  McMahon R. O. Markze, E. Firth, P. Soffitta, L. Amati","Optical and Radio Observations of the Afterglow from GRB990510: Evidence
  for a Jet","12 pages, 2 figures. Version accepted for publication in ApJ Letters","Astrophys.J.523:L121-L124,1999","10.1086/312282",,"astro-ph",,"  We present multi-color optical and two-frequency radio observations of the
bright SAX event, GRB 990510. The well-sampled optical decay, together with the
radio observations are inconsistent with simple spherical afterglow models. The
achromatic optical steepening and the decay of the radio afterglow both
occuring at $t \sim 1$ day are evidence for hydrodynamical evolution of the
source, and can be most easily interpreted by models where the GRB ejecta are
collimated in a jet. Employing a simple jet model to interpret the
observations, we derive a jet opening angle of $\theta_o = 0.08$, reducing the
isotropic gamma-ray emission of $2.9 \times 10^{53}$ erg by a factor $\sim
300$. If the jet interpretation is correct, we conclude that GRB observations
to-date are consistent with an energy for the central source of $E \lsim
10^{52}$ erg.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 21:06:09 GMT""},{""version"":""v2"",""created"":""Wed, 26 May 1999 23:55:49 GMT""},{""version"":""v3"",""created"":""Thu, 27 May 1999 00:09:14 GMT""},{""version"":""v4"",""created"":""Sat, 31 Jul 1999 22:52:33 GMT""}]","2009-10-31"
"astro-ph/9905308","Wlodzimierz Kluzniak","W. Kluzniak","Is the Universe transparent to TeV photons?","To appear in 8th Internatinal Workshop on ""Neutrino Telescopes"",
  Milla Baldo Ceolin ed., held February 23-26, 1999, in Venice. 4 pgs",,,,"astro-ph",,"  If Lorentz invariance is broken at an energy scale Eq, as has recently been
suggested in the context of attempts to quantize gravity, the kinematics of
photon-photon collisions would be profoundly affected at lower energies.
Specifically, electron-positron pair creation on soft photons may be forbidden
at photon energies as low as 30 TeV times square root of (Eq/10**17 GeV) and
the Universe would then be transparent to high energy photons.
  The proposition that Lorentz invariance is broken may be falsified by the
techniques of TeV astronomy.
","[{""version"":""v1"",""created"":""Wed, 26 May 1999 00:24:25 GMT""}]","2007-05-23"
"astro-ph/9905317","Heribert Genreith","H. Genreith","A Black Hole emerged Universe","A speculative paper on the fractal structure of the Universe. 12
  pages A4. Contribution to the 1998 conference Baryons98 in Bonn, Germany.
  Submitted to Speculations in Science and Technology",,,,"astro-ph",,"  A simple model of a universe is presented composed of black holes and black
branes. It uses the most simplest approximations and models of General
Relativity and Quantum Dynamics to offer an idea of an unification and gives a
possible answer to the quantization and entropy of Black Holes. It proposes a
mass spectra for elementary particles and gives a vivid interpretation of the
particle-wave-dualism.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 19:57:31 GMT""}]","2007-05-23"
"astro-ph/9905318","Barbara E. McArthur","G.Fritz Benedict, Barbara McArthur, D. W. Chappell, E. Nelan, W. H.
  Jefferys, W. van Altena, J.Lee, D. Cornell, P. J. Shelus, P.D. Hemenway, Otto
  G. Franz, L. H. Wasserman, R. L. Duncombe, D. Story, A. L. Whipple, and
  L.W.Fredrick","Interferometric Astrometry of Proxima Centauri and Barnard's Star Using
  Hubble Space Telescope Fine Guidance Sensor 3: Detection Limits for
  sub-Stellar Companions","35 pages, 13 figures, to appear in August 1999 AJ","Astron.J.118:1086-1100,1999","10.1086/300975",,"astro-ph",,"  We report on a sub-stellar companion search utilizing interferometric
fringe-tracking astrometry acquired with Fine Guidance Sensor 3 (FGS 3) on the
Hubble Space Telescope. Our targets were Proxima Centauri and Barnard's Star.
We obtain absolute parallax values for Proxima Cen pi_{abs} = 0.7687 arcsecond
and for Barnard's Star pi_{abs} = 0.5454 arcsecond.
  Once low-amplitude instrumental systematic errors are identified and removed,
our companion detection sensitivity is less than or equal to one Jupiter mass
for periods longer than 60 days for Proxima Cen. Between the astrometry and the
radial velocity results we exclude all companions with M > 0.8M_{Jup} for the
range of periods 1 < P < 1000 days. For Barnard's Star our companion detection
sensitivity is less than or equal to one Jupiter mass for periods long er than
150 days. Our null results for Barnard's Star are consistent with those of
Gatewood (1995).
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 17:24:24 GMT""}]","2011-03-28"
"astro-ph/9905319","Jerry Bonnell","J. T. Bonnell (1,2) and J. P. Norris (1) ((1) NASA/GSFC (2)
  Universities Space Research Association)","""No High Energy Emission"" GRB Class Is Attributable to Brightness Bias","13 pages, 4 figures, submitted to ApJ",,,,"astro-ph",,"  The inhomogeneous brightness distribution of BATSE detected gamma-ray bursts
has been considered strong evidence for their cosmological origin. However,
subclasses of gamma-ray bursts have been shown to have significantly more
homogeneous brightness distributions. Pendleton et al. (1997) have found such a
result for gamma-ray bursts with no detectable emission at energies >300 keV.
Accordingly, it has been suggested that these no high energy (NHE) emission
bursts represent an underluminous population of nearby sources. A distinct
homogeneous NHE brightness distribution has also been considered as evidence
for beaming of different spectral components of the prompt burst emission. We
synthesize observed distributions of gamma-ray bursts based on a sample of
typical bright BATSE bursts with intrinsic high energy emission and adopt a
single cosmological distance scale for all sources. We find that the resulting
synthetic NHE bursts do indeed have a more nearly homogeneous intensity
distribution when an appropriate decrease in signal to noise and redshifted
spectrum is incorporated. We argue that the definition of NHE bursts, and
soft-spectrum bursts in general, naturally produces a steep distribution. The
NHE class of gamma-ray bursts is therefore likely due to brightness bias.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 17:57:51 GMT""}]","2007-05-23"
"astro-ph/9905320",,"Keith A. Olive, Gary Steigman, and Terry P. Walker","Primordial Nucleosynthesis: Theory and Observations","25 pages, latex, 4 ps figures, to be published in a special memorial
  volume of Physics Reports in honor of David Schramm","Phys.Rept.333:389-407,2000","10.1016/S0370-1573(00)00031-4","UMN-TH-1802/99, TPI-MINN-99/29","astro-ph hep-ph",,"  We review the Cosmology and Physics underlying Primordial Nucleosynthesis and
survey current observational data in order to compare the predictions of Big
Bang Nucleosynthesis with the inferred primordial abundances. From this
comparison we report on the status of the consistency of the standard hot big
bang model, we constrain the universal density of baryons (nucleons), and we
set limits to the numbers and/or effective interactions of hypothetical new
""light"" particles (equivalent massless neutrinos).
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 19:41:33 GMT""}]","2008-11-26"
"astro-ph/9905321","Harald Ebeling","H. Ebeling, L.R. Jones, E. Perlman, C. Scharf, D. Horner, G. Wegner,
  M. Malkan, B. Fairley, C.R. Mullis","The WARPS survey: III. The discovery of an X-ray luminous galaxy cluster
  at z=0.833 and the impact of X-ray substructure on cluster abundance
  measurements","17 pages, 7 figures; revised to focus on possible detection biases
  caused by substructure in clusters; accepted for publication in ApJ; uses
  emulateapj.sty; eps files of figures 1 and 2 can be obtained from
  ftp://hubble.ifa.hawaii.edu/pub/ebeling/warps",,"10.1086/308729",,"astro-ph",,"  The WARPS team reviews the properties and history of discovery of
ClJ0152.7-1357, an X-ray luminous, rich cluster of galaxies at z=0.833. At L_X
= 8 x 10^44 h^(-2) erg/s (0.5-2.0 keV) ClJ0152.7-1357 is the most X-ray
luminous cluster known at redshifts z>0.55. The high X-ray luminosity of the
system suggests that massive clusters may begin to form at redshifts
considerably greater than unity. This scenario is supported by the high degree
of optical and X-ray substructure in ClJ0152.7-1357, which is similarly complex
as that of other X-ray selected distant clusters and consistent with the
picture of cluster formation by mass infall along large-scale filaments. X-ray
emission from ClJ0152.7-1357 was detected already in 1980 with the EINSTEIN
IPC. However, because the complex morphology of the emission caused its
significance to be underestimated, the corresponding source was not included in
the EMSS cluster sample and hence not previously identified. Simulations of the
EMSS source detection and selection procedure suggest a general bias of the
EMSS against X-ray luminous clusters with pronounced substructure. If highly
unrelaxed, merging clusters are common at high redshift, they could create a
bias in some samples as the morphological complexity of mergers may cause them
to fall below the flux limit of surveys that assume a unimodal spatial source
geometry. Conversely, the enhanced X-ray luminosity of mergers might cause them
to, temporarily, rise above the flux limit. Either effect could lead to
erroneous conclusions about the evolution of the comoving cluster space
density. A high fraction of morphologically complex clusters at high redshift
would also call into question the validity of cosmological studies that assume
that the systems under investigation are virialized.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 20:25:14 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 10:48:50 GMT""}]","2009-10-31"
"astro-ph/9905322","Chun Xu","Chun Xu, Mario Livio, Stefi A. Baum","Radio Loud and Radio Quiet Active Galactic Nuclei","45 pages inc. 7 figures, 1 table of 15 pages in ps-format. Accept to
  AJ September 1999",,"10.1086/301007",,"astro-ph",,"  We generated a sample of 409 AGNs for which both the radio luminosity at 5
GHz and the line luminosity in [OIII] 5007 have been measured. The radio
luminosity spans a range of ten orders of magnitude, and the [OIII] line
luminosity spans a range of eight orders of magnitude --- both considerably
larger than the ranges in previous studies. We show that these two quantities
are correlated in a similar way for both radio-loud and radio-quiet AGNs. We
demonstrate that the observed correlation can be explained in terms of a model
in which jets are accelerated and collimated by a vertical magnetic field.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 21:59:52 GMT""}]","2009-10-31"
"astro-ph/9905323","Simon Vaughan","S. Vaughan (1), J. Reeves (1), R. Warwick (1), R, Edelson (1,2) ((1)
  X-Ray Astronomy Group; University of Leicester, (2) Department of Physics and
  Astronomy; UCLA)","X-ray spectral complexity in narrow-line Seyfert 1 galaxies","13 pages, 5 figures, accepted for publication in MNRAS","AIPConf.Proc.599:995-998,1999","10.1063/1.1434793",,"astro-ph",,"  We present a systematic analysis of the X-ray spectral properties of a sample
of 22 ``narrow-line'' Seyfert 1 galaxies for which data are available from the
ASCA public archive. Many of these sources, which were selected on the basis of
their relatively narrow H-beta line width (FWHM <= 2000 km/s), show significant
spectral complexity in the X-ray band. Their measured hard power-law continua
have photon indices spanning the range 1.6 - 2.5 with a mean of 2.1, which is
only slightly steeper than the norm for ``broad-line'' Seyfert 1s. All but four
of the sources exhibit a soft excess, which can be modelled as blackbody
emission (T_{bb} ~ 100 - 300 eV) superposed on the underlying power-law. This
soft component is often so strong that, even in the relatively hard bandpass of
ASCA, it contains a significant fraction, if not the bulk, of the X-ray
luminosity, apparently ruling out models in which the soft excess is produced
entirely through reprocessing of the hard continuum.
  Most notably, 6 of the 22 objects show evidence for a broad absorption
feature centred in the energy range 1.1 - 1.4 keV, which could be the signature
of resonance absorption in highly ionized material. A further 3 sources exhibit
``warm absorption'' edges in the 0.7 - 0.9 keV bandpass. Remarkably, all 9
``absorbed'' sources have H-beta line widths below 1000 km/s, which is less
than the median value for the sample taken as a whole. This tendency for very
narrow line widths to correlate with the presence of ionized absorption
features in the soft X-ray spectra of NLS1s, if confirmed in larger samples,
may provide a further clue in the puzzle of active galactic nuclei.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 22:05:37 GMT""}]","2008-11-26"
"astro-ph/9905324","Elena Terlevich","Guillermo Tenorio-Tagle (1), Sergey A. Silich (2), Daniel Kunth (3),
  Elena Terlevich (1) and Roberto Terlevich (4) ((1) INAOE,Puebla,Mexico (2)
  Main Astronomical Observatory National Academy of Sciences of Ukraine, Kiev
  Ukraine(3) IAP, Paris France (4) IoA Cambridge UK)","The evolution of superbubbles and the detection of Lyman alpha in
  star-forming galaxies","12 pages, 8 figures, MNRAS in press",,"10.1046/j.1365-8711.1999.02809.x",,"astro-ph",,"  The detection of Ly alpha emission in star-forming galaxies in different
shapes and intensities (always smaller than predicted for case B recombination)
has puzzled the astronomical community for more than a decade. Here we use two
dimensional calculations to follow the evolution of superbubbles and of the H
II regions generated by the output of UV photons from massive stars. We show
the impact caused by massive star formation in the ISM of different galaxies
and we look at the conditions required to detect Ly alpha emission from a
nuclear H II region, and the variety of profiles that may be expected as a
function of time.
","[{""version"":""v1"",""created"":""Tue, 25 May 1999 23:58:54 GMT""}]","2009-10-31"
