"adap-org/9906001","Yi Li","Yi Li (1 and 2), Rick Riolo (1), Robert Savit (1 and 2) ((1) Program
  for Study of Complex Systems, U of Michigan (2) Physics Department, U of
  Michigan)","Evolution in Minority Games II. Games with Variable Strategy Spaces","18 pages text, 8 figures. Postscript from msword for text, from
  matlab for figures",,"10.1016/S0378-4371(99)00435-5","PSCS-99-05-001","adap-org nlin.AO",,"  We continue our study of evolution in minority games by examining games in
which agents with poorly performing strategies can trade in their strategies
for new ones from a different strategy space. In the context of the games
discussed in this paper, this means allowing for strategies that use
information from different numbers of time lags, m. We find, in all the games
we study, that after evolution, wealth per agent is high for agents with
strategies drawn from small strategy spaces (small m), and low for agents with
strategies drawn from large strategy spaces (large m). In the game played with
N agents, wealth per agent as a function of m is very nearly a step function.
The transition is at m=mt, where mt~mc-1. Here mc is the critical value of m at
which N agents playing the game with a fixed strategy space (fixed m) have the
best emergent coordination and the best utilization of resources. We also find
that overall system-wide utilization of resources is independent of N.
Furthermore, although overall system-wide utilization of resources after
evolution varies somewhat depending on some other aspects of the evolutionary
dynamics, in the best cases, utilization of resources is on the order of the
best results achieved in evolutionary games with fixed strategy spaces. Simple
explanations are presented for some of our main results.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 21:54:17 GMT""}]","2009-10-31"
"astro-ph/9905378","Alon Retter","A. Retter, T. Naylor (Keele University)","New evolutionary scenarios for short orbital period CVs","2 pages, Latex file, 1 .sty file, to appear in ""Cataclysmic
  Variables: a 60th Birthday Symposium in Honour of Brian Warner"", held in
  Oxforf, 12-16/4/99, eds. P. Charles, A. King, D. O'Donoghue, New Astronomy
  Reviews. also available at:
  ftp://ftp.astro.keele.ac.uk/pub/preprints/Oxford.html",,,,"astro-ph",,"  We suggest new evolutionary scenarios for non-magnetic short orbital period
CVs. The first model is the analogy of the `hibernation scenario' or the
`modern hibernation scenario'. The second one is an extension of Mukai and
Naylor (1995) ideas. All models imply a tight connection between permanent
superhump systems and classical novae. We highlight the significance of the
observed evolution of V1974 Cyg, which might pose a major problem to Mukai and
Naylor concept.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 16:12:58 GMT""}]","2007-05-23"
"astro-ph/9905379","Alon Retter","A. Retter (Keele University), W. Liller (Vina Del Mar, Chile), G.
  Garradd (Loomberah, N.S.W.)","The transition phase in Nova Muscae 1998, the dust formation in
  classical novae and a possible link to intermediate polar systems","2 pages, Latex file, 1 .eps files, 1 .sty file,. to appear in
  ""Cataclysmic Variables: a 60th Birthday Symposium in Honour of Brian Warner"",
  held in Oxforf, 12-16/4/99, eds. P. Charles, A. King, D. O'Donoghue, New
  Astronomy Reviews. also available at:
  ftp://ftp.astro.keele.ac.uk/pub/preprints/Oxford.html",,,,"astro-ph",,"  We present results of continuous CCD photometry of Nova Muscae 1998 during 17
nights obtained mainly during the transition phase in the light curve of the
young nova. We discovered a periodical oscillation with the period 0.16930 day.
This result is important for understanding this peculiar stage in the light
curve of certain classical novae. We also note a possible connection between
the transition / dust phase in nova light curves and intermediate polar
systems.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 16:24:01 GMT""}]","2007-05-23"
"astro-ph/9905380","Revnivtsev Mikhail","Mikhail G. Revnivtsev (1,2), Konstantin N. Borozdin (2,1), William C.
  Priedhorsky(2), Alexey Vikhlinin(3) ((1)-Space Research Institute, Moscow,
  Russia; (2)-LANL,Los Alamos, NM, USA; (3)-Harvard-Smithsonian Center for
  Astrophysics, Cambridge, MA, USA)","RXTE Observations of an Outburst of Recurrent X-ray Nova GS 1354-644","12 pages, 9 figures, accepted for publication in ApJ (Feb. 2000,
  v.530), uses emulateapj.sty",,"10.1086/308386",,"astro-ph",,"  We present the results of Rossi X-ray Timing Explorer observations of GS
1354-644 during a modest outburst in 1997-1998. The source is one of a handful
of black hole X-ray transients that are confirmed to be recurrent in X-rays. A
1987 outburst of the same source observed by Ginga was much brighter, and
showed a high/soft spectral state. In contrast the 1997-1998 outburst showed a
low/hard spectral state. Both states are typical for black hole binaries. The
RXTE All Sky Monitor observed an outburst duration of 150 to 200 days. PCA and
HEXTE observations covered ~70 days near the maximum of the light curve and
during the flux decline. Throughout the observations, the spectrum can be
approximated by Compton upscattering of soft photons by energetic electrons.
The hot electron cloud has a temperature kT ~30 keV and optical depth tau~4--5.
To fit the data well an additional iron fluorescent line and reflection
component are required, which indicates the presence of optically thick cool
material, most probably in the outer part of the accretion disk. Dramatic fast
variability was observed, and has been analyzed in the context of a shot noise
model. The spectrum appeared to be softest at the peaks of the shot-noise
variability. The shape of the power spectrum was typical for black hole systems
in a low/hard state. We note a qualitative difference in the shape of the
dependence of fractional variability on energy, when we compare systems with
black holes and with neutron stars. Since it is difficult to discriminate these
systems on spectral grounds, at least in their low/hard states, this new
difference might be important.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 18:16:50 GMT""},{""version"":""v2"",""created"":""Thu, 2 Sep 1999 01:11:33 GMT""},{""version"":""v3"",""created"":""Wed, 13 Oct 1999 19:51:35 GMT""}]","2009-10-31"
"astro-ph/9905381","C. E. Petry","C.D. Impey, C.E. Petry, and K.P. Flint","A Study of Lyman-Alpha Quasar Absorbers in the Nearby Universe","36 pages of text, 15 figures, 4 tables, 36 files","Astrophys.J.524:536,1999","10.1086/307845",,"astro-ph",,"  Spectroscopy of ten quasars obtained with the Goddard High Resolution
Spectrograph (GHRS) of the Hubble Space Telescope (HST) is presented. A
clustering analysis reveals an excess of nearest neighbor line pairs on
velocity scales of 250-750 km/s at a 95-98% confidence level. The hypothesis
that the absorbers are randomly distributed in velocity space can be ruled out
at the 99.8% confidence level. No two-point correlation power is detected (xi <
1 with 95% confidence). Lyman-alpha absorbers have correlation amplitudes on
scales of 250-500 km/s at least 4-5 times smaller than the correlation
amplitude of bright galaxies. A detailed comparison between absorbers in nearby
galaxies is carried out on a limited subset of 11 Lyman- alpha absorbers where
the galaxy sample in a large contiguous volume is complete to M_B = -16.
Absorbers lie preferentially in regions of intermediate galaxy density but it
is often not possible to uniquely assign a galaxy counterpart to an absorber.
This sample provides no explicit support for the hypothesis that absorbers are
preferentially associated with the halos of luminous galaxies. We have made a
preliminary comparison of the absorption line properties and environments with
the results of hydrodynamic simulations. The results suggest that the
Lyman-alpha absorbers represent diffuse or shocked gas in the IGM that traces
the cosmic web of large scale structure. (abridged)
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 18:09:48 GMT""}]","2008-11-26"
"astro-ph/9905382","Bradley M. Peterson","Bradley M. Peterson and Amri Wandel","Keplerian Motion of Broad-Line Region Gas as Evidence for Supermassive
  Black Holes in Active Galactic Nuclei","9 pages, 2 Figures. accepted by ApJ Letters","Astrophys.J.521:L95-L98,1999","10.1086/312190",,"astro-ph",,"  Emission-line variability data on NGC 5548 argue strongly for the existence
of a mass of order 7 x 10^7 solar masses within the inner few light days of the
nucleus in the Seyfert 1 galaxy NGC 5548. The time-delayed response of the
emission lines to continuum variations is used to infer the size of the
line-emitting region, and these determinations are combined with measurements
of the Doppler widths of the variable line components to estimate a virial
mass. The data for several different emission lines spanning an order of
magnitude in distance from the central source show the expected V proportional
to r^{-1/2} correlation and are consistent with a single value for the mass.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 18:24:15 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jun 1999 15:16:01 GMT""}]","2009-08-21"
"astro-ph/9905383","Paolo Padoan","Paolo Padoan (1), John Bally (2 and 3) Youssef Billawala (2 and 3),
  Mika Juvela (4) and AAke Nordlund (5 and 6) ((1) Harvard University
  Department of Astronomy, Cambridge, MA (2) Department of Astrophysics,
  Planetary, and Atmospheric Sciences, Boulder -- Colorado (3) Center for
  Astrophysics and Space Astronomy, Boulder -- Colorado (4) Helsinki University
  Observatory -- Finland (5) Astronomical Observatory, Copenhagen -- Denmark
  (6) Theoretical Astrophysics Center, Copenhagen -- Denmark)","Super-Sonic Turbulence in the Perseus Molecular Cloud","20 pages, 8 figures included, ApJ (in press)",,"10.1086/307864",,"astro-ph",,"  We compare the statistical properties of J=1-0 13CO spectra observed in the
Perseus Molecular Cloud with synthetic J=1-0 13CO spectra, computed solving the
non-LTE radiative transfer problem for a model cloud obtained as solutions of
the three dimensional magneto-hydrodynamic (MHD) equations. The model cloud is
a randomly forced super-Alfvenic and highly super-sonic turbulent isothermal
flow.
  The purpose of the present work is to test if idealized turbulent flows,
without self-gravity, stellar radiation, stellar outflows, or any other effect
of star formation, are inconsistent or not with statistical properties of star
forming molecular clouds.
  We present several statistical results that demonstrate remarkable similarity
between real data and the synthetic cloud. Statistical properties of molecular
clouds like Perseus are appropriately described by random super-sonic and
super-Alfvenic MHD flows. Although the description of gravity and stellar
radiation are essential to understand the formation of single protostars and
the effects of star formation in the cloud dynamics, the overall description of
the cloud and of the initial conditions for star formation can apparently be
provided on intermediate scales without accounting for gravity, stellar
radiation, and a detailed modeling of stellar outflows.
  We also show that the relation between equivalent line width and integrated
antenna temperature indicates the presence of a relatively strong magnetic
field in the core B1, in agreement with Zeeman splitting measurements.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 19:04:18 GMT""}]","2015-06-24"
"astro-ph/9905384","Jon Loveday","L. Tresse, S. Maddox, J. Loveday and C. Singleton","Spectral Analysis of the Stromlo-APM Survey I. Spectral Properties of
  Galaxies","40 pages, 25 figures, MNRAS, in press",,"10.1046/j.1365-8711.1999.02977.x","EFI-99-22","astro-ph",,"  We analyze spectral properties of 1671 galaxies from the Stromlo-APM survey,
selected to have 15 < b_J < 17.15 and having a mean redshift z = 0.05. This is
a representative local sample of field galaxies, so the global properties of
the galaxy population provide a comparative point for analysis of more distant
surveys. We measure Halpha, Oii 3727, Sii 6716, 6731, Nii 6583 and Oi 6300
equivalent widths and the D_4000 break index. The 5A resolution spectra use an
8 arcsec slit, which typically covers 40-50% of the galaxy area. We find no
evidence for systematic trends depending on the fraction of galaxy covered by
the slit, and further analysis suggests that our spectra are representative of
integrated galaxy spectra.
  We classify spectra according to their Halpha emission, which is closely
related to massive star formation. Overall we find 61% of galaxies are Halpha
emitters with rest-frame equivalent widths EW(Halpha) >= 2A. The emission-line
galaxy (ELG) fraction is smaller than seen in the CFRS at z = 0.2 and is
consistent with a rapid evolution of Halpha luminosity density. The ELG
fraction, and EW(Halpha), increase at fainter absolute magnitudes, smaller
projected area and smaller D_4000. In the local Universe, faint, small galaxies
are dominated by star formation activity, while bright, large galaxies are more
quiescent. This picture of the local Universe is quite different from the
distant one, where bright galaxies appear to show rapidly-increasing activity
back in time.
  (Abridged)
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 19:24:58 GMT""}]","2009-10-31"
"astro-ph/9905385","Jon Loveday","J. Loveday, L. Tresse, and S. Maddox","Spectral Analysis of the Stromlo-APM Survey II. Galaxy luminosity
  function and clustering by spectral type","8 pages, 7 figures, MNRAS, in press",,"10.1046/j.1365-8711.1999.02820.x","EFI-99-23","astro-ph",,"  We study the luminosity function and clustering properties of subsamples of
local galaxies selected from the Stromlo-APM survey by the rest-frame
equivalent widths of their Halpha and Oii emission lines. The b_J luminosity
function of star-forming galaxies has a significantly steeper faint-end slope
than that for quiescent galaxies: the majority of sub-L* galaxies are currently
undergoing significant star formation. Emission line galaxies are less strongly
clustered, both amongst themselves, and with the general galaxy population,
than quiescent galaxies. Thus as well as being less luminous, star-forming
galaxies also inhabit lower-density regions of the Universe than quiescent
galaxies.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 19:43:44 GMT""}]","2009-10-31"
"astro-ph/9905386","Jon Loveday","J. Loveday, L. Tresse, and S. Maddox","Luminosity and clustering of galaxies selected by EW(Halpha)","4 pages, 2 figures, to appear in proceedings of XIXth Moriond
  Astrophysics Meeting ""Building galaxies: from the primordial universe to the
  present"", March 13-20, 1999, Les Arcs, France",,,"EFI-99-24","astro-ph",,"  We study the luminosity function and clustering properties of subsamples of
local galaxies selected from the Stromlo-APM survey by the rest-frame
equivalent width (EW) of the Halpha emission line. The b_J luminosity function
of star-forming galaxies has a significantly steeper faint-end slope than that
for quiescent galaxies: the majority of sub-L* galaxies are currently
undergoing significant star formation. Emission line galaxies are less strongly
clustered, both amongst themselves, and with the general galaxy population,
than quiescent galaxies. Thus as well as being less luminous, star-forming
galaxies also inhabit lower-density regions of the Universe than quiescent
galaxies.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 22:26:25 GMT""}]","2007-05-23"
"astro-ph/9905387","Yong-Zhong Qian","Y.-Z. Qian (LANL), P. Vogel (Caltech), G. J. Wasserburg (Caltech)","Probing r-Process Production of Nuclei Beyond Bi209 with Gamma Rays","24 pages, 3 figures, to appear in the October 10, 1999 issue of ApJ","Astrophys.J. 524 (1999) 213-219","10.1086/307805","LA-UR-99-1218","astro-ph nucl-th",,"  We estimate gamma-ray fluxes due to the decay of nuclei beyond Bi209 from a
supernova or a supernova remnant assuming that the r-process occurs in
supernovae. We find that a detector with a sensitivity of about 10**(-7)
photons/cm**2/s at energies of 40 keV to 3 MeV may detect fluxes due to the
decay of Ra226, Th229, Am241, Am243, Cf249, and Cf251 in the newly discovered
supernova remnant near Vela. In addition, such a detector may detect fluxes due
to the decay of Ac227 and Ra228 produced in a future supernova at a distance of
about 1 kpc. As nuclei with mass numbers A > 209 are produced solely by the
r-process, such detections are the best proof for a supernova r-process site.
Further, they provide the most direct information on yields of progenitor
nuclei with A > 209 at r-process freeze-out. Finally, detection of fluxes due
to the decay of r-process nuclei over a range of masses from a supernova or a
supernova remnant provides the opportunity to compare yields in a single
supernova event with the solar r-process abundance pattern.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 23:00:09 GMT""}]","2009-10-31"
