"adap-org/9907004","Klaus Behrndt","Andreas Schaale","A dynamical model of non regulated markets","12 pages LaTeX, 4 ps figures, Contact: Schaale@snafu.de",,,"IfH-DESY Seminar Report 12-22-1998","adap-org nlin.AO",,"  The main focus of this work is to understand the dynamics of non regulated
markets. The present model can describe the dynamics of any market where the
pricing is based on supply and demand. It will be applied here, as an example,
for the German stock market presented by the Deutscher Aktienindex (DAX), which
is a measure for the market status. The duality of the present model consists
of the superposition of the two components - the long and the short term
behaviour of the market. The long term behaviour is characterised by a stable
development which is following a trend for time periods of years or even
decades. This long term growth (or decline) is based on the development of
fundamental market figures. The short term behaviour is described as a
dynamical evaluation (trading) of the market by the participants. The trading
process is described as an exchange between supply and demand. In the framework
of this model there the trading is modelled by a system of nonlinear
differential equations. The model also allows to explain the chaotic behaviour
of the market as well as periods of growth or crashes.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:54:35 GMT""}]","2007-05-23"
"astro-ph/9907208","Giard","M. Giard (CESR-Toulouse), E. Hivon (CalTech), C. Nguyen (CESR), R.
  Gispert (IAS-Orsay), K.M. G\'orski (Warsaw University), A. Lange (CalTech),
  and I. Ristorcelli (CESR)","All sky mapping of the Cosmic Microwave Background at 8' angular
  resolution with a 0.1 K bolometer: simulations","19 pages, Latex, including 11 figures (color postscript). Submitted
  to A&A Sup",,,,"astro-ph",,"  We present simulations of observations with the 143 GHz channel of the Planck
High Frequency Instrument (HFI). These simulations are performed over the
entire sky, using the true angular resolution of this channel: 8 arcmin FWHM,
3.5 arcmin per pixel. We show that with measured 0.1 K bolometer performances,
the sensitivity needed on the Cosmic Microwave Background (CMB) survey is
obtained using simple and robust data processing techniques, including a
destriping algorithm.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:15:50 GMT""}]","2007-05-23"
"astro-ph/9907209","Pedro Viana","Pedro P. Avelino, Pedro T. P. Viana (CAUP, Portugal)","The cloud-in-cloud problem for non-Gaussian density fields","5 pages, LaTex using mn.sty, matches published version, results for
  the Inverted Chi-square distribution withdrawn","Mon.Not.Roy.Astron.Soc. 314 (2000) 354-358","10.1046/j.1365-8711.2000.03366.x",,"astro-ph",,"  The cloud-in-cloud problem is studied in the context of the extension to
non-Gaussian density fields of the Press-Schechter approach for the calculation
of the mass function. As an example of a non-Gaussian probability distribution
functions (PDFs) we consider the Chi-square, with various degrees of freedom.
We generate density fields in cubic boxes with periodic boundary conditions and
then determine the number of points considered collapsed at each scale through
an hierarchy of smoothing windows. We find that the mass function we obtain
differs from that predicted using the Extended Press-Schechter formalism,
particularly for low values of $\sigma$ and for those PDFs most distinct from a
Gaussian.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:23:42 GMT""},{""version"":""v2"",""created"":""Thu, 11 May 2000 18:17:33 GMT""}]","2009-10-31"
"astro-ph/9907210","Bahram Mobasher","B. Mobasher (Imperial College) and P. Mazzei (University of Padova)","A Self-consistent Method for Estimating Photometric Redshifts","6 pages, 4 postscript figures- To appear in the proceedings of the
  Workshop on Photometric Redshifts and High Redshift Galaxies, edited by Ray
  Weymann, Lisa Storrie-Lombardi, Marcin Sawicki and Robert Brunner
  (Astronomical Society of the Pacific).",,,,"astro-ph",,"  A new method is developed for estimating photometric redshifts, using
realistic template SEDs, extending over four decades in wavelength (i.e from
0.05 $\mu m$ to 1 mm). The SEDs are constructed for four different spectral
types of galaxies (elliptical, spiral, irregular and starburst) and satisfy the
following characteristics: a). they are optimised to produce the observed
colours of galaxies at $z\sim 0$; b). incorporate the chemo-photometric
spectral evolution of galaxies of different types, in agreement with
observations; c). allow treatment of dust contribution and its evolution with
redshift, consistent with the spectral evolution model; d). include absorption
and re-emission of radiation by dust and hence, realistic estimates of the
far-infrared radiation; e). include correction for inter-galactic absorption by
Lyman continuum and Lyman forest.
  Using these template SEDs, the photometric redshifts are estimated to an
accuracy of $\Delta z = 0.11$. The degeneracy in the method and hence, the
redshifts and spectral types, are explored via Monte Carlo simulations. The
consistency of the technique is demonstrated by applying it on a UV selected
sample of HDF galaxies and comparing the statistical results with those from
other independent studies.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:42:44 GMT""}]","2007-05-23"
"astro-ph/9907211","Bradford Behr","Bradford B. Behr, S. G. Djorgovski, Judith G. Cohen, James K.
  McCarthy, Patrick Cote, Giampaolo Piotto, Manuela Zoccali","A New Spin on the Problem of HB Gaps: Stellar Rotation along the Blue
  Horizontal Branch of Globular Cluster M13","7 pages, 3 figures, accepted in ApJ",,"10.1086/308219",,"astro-ph",,"  We have determined the projected rotational velocities of thirteen blue
horizontal-branch (BHB) stars in the globular cluster M13 via rotational
broadening of metal absorption lines. Our sample spans the photometric gap
observed in the horizontal branch distribution at Teff ~= 11000 K, and reveals
a pronounced difference in stellar rotation on either side of this
feature---bluewards of the gap, all the stars show modest rotations, vsini < 10
km/s, while to the red side of the gap, we confirm the more rapidly rotating
population (vsini ~= 40 km/s) previously observed by Peterson et al (1995).
Taken together with these prior results, our measurements indicate that a
star's rotation is indeed related to its location along the HB, although the
mechanism behind this correlation remains unknown. We explore possible
connections between stellar rotation and mass loss mechanisms which influence
the photometric morphology of globular cluster HBs.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:48:25 GMT""}]","2009-10-31"
"astro-ph/9907212","Neil G. Turok","Steven Gratton, Thomas Hertog and Neil Turok","An Observational Test of Quantum Cosmology","15 pages RevTex, including two postscript figure files. Revised to
  extend range of Coleman De Luccia theories considered and to include models
  with a cosmological constant","Phys.Rev.D62:063501,2000","10.1103/PhysRevD.62.063501",,"astro-ph",,"  We compute the tensor CMB anisotropy power spectrum for singular and
non-singular instantons describing the beginning of an open universe according
to the Euclidean no boundary proposal. Singular instantons occur generically,
whereas non-singular instantons require more contrived scalar field potentials.
For the latter, we consider potentials in which a sharp feature, either
negative or positive, is added to a gently sloping potential. In the first case
one finds a nearly divergent contribution to the low multipole CMB anisotropy,
in conflict with the COBE observations. In the second case the divergence is
weaker, but matching the low multipoles forces the added feature to be large
and narrow. For singular instantons, there is a better match to the
observations, without any such contrivance. The distinction between singular
and nonsingular instantons disappears in the limit as the universe becomes
flat, but is still observable for densities as high as 0.7 of the critical
density.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 20:57:08 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jan 2000 16:36:23 GMT""}]","2009-12-30"
"astro-ph/9907213","Scott D. Horner","Scott D. Horner, Marvin E. Germain, Thomas P. Greene, Fred H. Harris,
  Mark S. Johnson, Kenneth J. Johnston, David G. Monet, Marc A. Murison, James
  D. Phillips, Robert D. Reasenberg, P. Kenneth Seidelmann, Sean E. Urban, and
  Richard H. Vassar","The Full-sky Astrometric Mapping Explorer -- Astrometry for the New
  Millennium","6 pages, 4 figures, to appear in ""Working on the Fringe""",,,,"astro-ph",,"  FAME is designed to perform an all-sky, astrometric survey with unprecedented
accuracy. It will create a rigid astrometric catalog of 4x10^7 stars with 5 <
m_V < 15. For bright stars, 5 < m_V < 9, FAME will determine positions and
parallaxes accurate to < 50 microarcseconds, with proper motion errors < 50
microarcseconds/year. For fainter stars, 9 < m_V < 15, FAME will determine
positions and parallaxes accurate to < 500 microarcseconds, with proper motion
errors < 500 microarcseconds/year. It will also collect photometric data on
these 4 x 10^7 stars in four Sloan DSS colors.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 21:37:54 GMT""}]","2007-05-23"
"astro-ph/9907214","Anthony L. Shoup","R. Atkins, W. Benbow, D. Berley, M.-L. Chen, D. G. Coyne, R. S. Delay,
  B. L. Dingus, D. E. Dorfan, R. W. Ellsworth, D. Evans, A. Falcone, L.
  Fleysher, R. Fleysher, G.Gisler, J. A. Goodman, T. J. Haines, C. M. Hoffman,
  S. Hugenberger, L. A. Kelley, I. Leonor, J. Macri, M. McConnell, J. F.
  McCullough, J. E. McEnery, R. S. Miller, A. I. Mincer, M. F. Morales, P.
  Nemethy, J. M. Ryan, M. Schneider, B. Shen, A. Shoup, G. Sinnis, A. J. Smith,
  G. W. Sullivan, T. N. Thompson, O. T. Tumer, K. Wang, M. O. Wascko, S.
  Westerhoff, D. A. Williams, T. Yang, G. B. Yodh (The Milagro Collaboration)","Instrumented Water Tanks can Improve Air Shower Detector Sensitivity","4 pages, submitted to XXVI International Cosmic Ray Conference, Salt
  Lake City",,,,"astro-ph",,"  Previous works have shown that water Cherenkov detectors have superior
sensitivity to those of scintillation counters as applied to detecting
extensive air showers (EAS). This is in large part due to their much higher
sensitivity to EAS photons which are more than five times more numerous than
EAS electrons. Large area water Cherenkov detectors can be constructed
relatively cheaply and operated reliably. A sparse detector array has been
designed which uses these types of detectors to substantially increase the area
over which the Milagro Gamma Ray Observatory collects EAS information.
Improvements to the Milagro detector's performance characteristics and
sensitivity derived from this array and preliminary results from a prototype
array currently installed near the Milagro detector will be presented.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 21:40:31 GMT""}]","2007-05-23"
"astro-ph/9907215","Geoffrey C. Bower","Geoffrey C. Bower (NRAO), Heino Falcke (MPIfR), Donald C. Backer (UC
  Berkeley)","Detection of Circular Polarization in the Galactic Center Black Hole
  Candidate Sagittarius A*","ApJL accepted, 11 pages including 1 figure",,"10.1086/312246",,"astro-ph",,"  We report here the detection of circular polarization in the Galactic Center
black hole candidate, Sagittarius A*. The detection was made at 4.8 GHz and 8.4
GHz with the Very Large Array. We find that the fractional circular
polarization at 4.8 GHz is $m_c=-0.36 \pm 0.05%$ and that the spectral index of
the circular polarization is $\alpha=-0.6 \pm 0.3$ ($m_c \propto
\nu^{\alpha}$). The systematic error in $m_c$ is less than 0.04% at both
frequencies. In light of our recent lower limits on the linear polarization in
Sgr A*, this detection is difficult to interpret with standard models. We
consider briefly whether scattering mechanisms could produce the observed
polarization. Detailed modeling of the source and the scattering medium is
necessary. We propose a simple model in which low energy electrons reduce
linear polarization through Faraday depolarization and convert linear
polarization into circular polarization. Circular polarization may represent a
significant new parameter for studying the obscured centimeter wavelength radio
source in Sgr A*.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 00:10:12 GMT""}]","2009-10-31"
"astro-ph/9907216","Dave Thompson","D. Thompson, S. V. W. Beckwith, R. Fockenbrock, J. Fried, H.
  Hippelein, J.-S. Huang, B. von Kuhlmann, Ch. Leinert, K. Meisenheimer, S.
  Phleps, H.-J. R\""oser, E. Thommes and C. Wolf","The Surface Density of Extremely Red Objects","19 pages, including 5 figures and 2 tables. To appear in ApJ",,"10.1086/307708","MPIA-99.XXX","astro-ph",,"  We present initial results from a field survey for extremely red objects
(EROs, defined here as (R-K') >= 6 mag) covering 154 square arcminutes of sky,
from the first of 7 deep, wide-field K' images obtained as part of the Calar
Alto Deep Imaging Survey (CADIS). The 5-sigma point source detection limits are
K'=20.5 and R=25.0, while extended-source limits are up to 0.5-0.75 mag
brighter. We identify a total of 8 bright EROs with K' =< 19.0. Six of these
bright EROs are resolved and are likely to be galaxies, while the remaining 2
are unresolved, with colors consistent with their being low-mass galactic
stars. We derive a surface density for the 6 bright, extragalactic EROs of
0.039 +/- 0.016 per sq. arcmin, higher by a factor of 4 than previous values.
We estimate that the volume density of bright EROs to be as high as that of
nearby Seyfert galaxies.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 00:06:32 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jul 1999 17:30:07 GMT""}]","2009-10-31"
"astro-ph/9907217","Shigeru Ida","S. Ida, J. D. Larwood, and A. Burkert","Evidence for early stellar encounters in the orbital distribution of
  Edgeworth-Kuiper Belt objects","Accepted by ApJ. 17 pages, 4 figures. AASTex. PostScript files also
  available from http://www.geo.titech.ac.jp/nakazawalab/ida/AJ.html",,"10.1086/308179",,"astro-ph",,"  We have investigated effects of early stellar encounters on a protoplanetary
disk (planetesimal disk) and found that they can explain the high
eccentricities and inclinations observed in the outer part ($>42$AU) of the
Edgeworth-Kuiper Belt (EKB). The proto-sun is considered as a member of a
stellar aggregation that undergoes dissolution on a timescale $\sim 10^8$yrs,
such that a planetesimal disk experiences a flyby encounter at pericenter
distance ($q$) on the order of 100AU. We simulated dynamical evolution of a
planetesimal (test particle) disk perturbed by a passing star. We show that the
stellar encounter pumps the velocity dispersion in the disk in the outer parts
($> 0.25q$). Planet formation is forestalled in that region. We also find that
a stellar encounter with pericenter distance $q \sim 100-200$AU could have
pumped up the velocity dispersion of EKB objects outside 42AU to the observed
magnitude while preserving that inside Neptune's 3:2 mean-motion resonance
(located at 39.5AU), which allows for the efficient capture of objects by the
sweeping of the 3:2 resonance during orbital migration by proto-Neptune.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 00:19:08 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jul 1999 18:39:42 GMT""}]","2009-10-31"
