"adap-org/9909004","Bartolo Luque Serrano","Bartolo Luque and Antonio Ferrera (Centro de Astrobiologia, Madrid)","Measuring Mutual Information in Random Boolean Networks","12 pages with 5 figures(eps) included. Submitted to Complex Systems",,,,"adap-org nlin.AO",,"  During the last few years an area of active research in the field of complex
systems is that of their information storing and processing abilities. Common
opinion has it that the most interesting beaviour of these systems is found
``at the edge of chaos'', which would seem to suggest that complex systems may
have inherently non-trivial information proccesing abilities in the vicinity of
sharp phase transitions. A comprenhensive, quantitative understanding of why
this is the case is however still lacking. Indeed, even ``experimental'' (i.e.,
often numerical) evidence that this is so has been questioned for a number of
systems. In this paper we will investigate, both numerically and analitically,
the behavior of Random Boolean Networks (RBN's) as they undergo their
order-disorder phase transition. We will use a simple mean field approximation
to treat the problem, and without lack of generality we will concentrate on a
particular value for the connectivity of the system. In spite of the simplicity
of our arguments, we will be able to reproduce analitically the amount of
mutual information contained in the system as measured from numerical
simulations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:01:03 GMT""}]","2007-05-23"
"astro-ph/9909072","Joseph Lehar","J.Lehar, E.Falco, C.Kochanek, B.McLeod, J.Munoz (CfA), C.Impey
  (U.Arizona), H-W.Rix (MPIfA), C.Keeton, C.Peng (U.Arizona)","HST Observations of 10 Two-Image Gravitational Lenses","Submitted to ApJ 1999.09.03. Accepted 2000.01.21 with moderate
  revisions, some new data and figures. 2002.01.31 Corrected missing Table 2
  entries for PKS1830. LaTeX with AASTeX and psfig2 macros",,"10.1086/308963",,"astro-ph",,"  We report on a program to obtain HST observations of galaxy-mass
gravitational lens systems at optical and infrared wavelengths. Here we discuss
the properties of 10 two-image gravitational lens systems (Q0142-100=UM673,
B0218+357, SBS0909+532, BRI0952-0115, LBQS1009-0252, Q1017-207=J03.13,
B1030+074, HE1104-1805, Q1208+1011, and PKS1830-211). We grouped these 10
systems because they have limited lens model constraints and often show poor
contrast between the images and the lens galaxy. Of the 10 lens galaxies, 7 are
probably early-type galaxies, 2 are probably late-type galaxies (B0218+357 and
PKS1830-211), and one was not detected (Q1208+1011). We detect the host
galaxies of the z_s=4.50 lensed quasar in BRI0952-0115, the z_s=2.32 lensed
quasar in HE1104-1805, and the unlensed z=1.63 quasar near LBQS1009-0252. We
fit a set of four standard lens models to each lens that had sufficient
constraints to compare isothermal dark matter and constant mass-to-light lens
models, and to explore the effects of local tidal shears.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 22:19:29 GMT""},{""version"":""v2"",""created"":""Sat, 22 Jan 2000 01:00:27 GMT""},{""version"":""v3"",""created"":""Thu, 31 Jan 2002 23:48:34 GMT""}]","2009-10-31"
"astro-ph/9909073","Marnix Witte","M.G. Witte and G.J. Savonije (University of Amsterdam)","Tidal evolution of eccentric orbits in massive binary systems; a study
  of resonance locking","21 pages, 11 figures; some at reduced resolution, accepted for
  publication in A&A",,,,"astro-ph",,"  We study the tidal evolution of a binary system consisting of a 1.4 Msun
compact object in elliptic orbit about a 10 Msun uniformly rotating main
sequence star for various values of the initial orbital parameters. We apply
our previously published results of 2D non-adiabatic calculations of the
non-radial g- and r-mode oscillations of the uniformly rotating MS star, and
include the effects of resonant excitation of these modes in the tidal
evolution calculations. A high orbital eccentricity enhances the effectiveness
of the tidal interaction because of the large number of harmonic components of
the tidal potential and the reduced orbital separation near periastron. By
including the evolution of the MS star, especially of its rotation rate, many
resonance crossings occur with enhanced tidal interaction. We analyse the
phenomenon of resonance locking whereby a particular tidal harmonic is kept
resonant with a stellar oscillation mode. Resonance locking of prograde g-modes
appears an effective mechanism for orbital circularization of eccentric orbits.
We consider the orbital evolution of the binary pulsar PSR J0045-7319 and
conclude that resonance locking could explain the observed short orbital decay
time of this system if the B-star spins in the direction counter to the orbital
motion.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:32:49 GMT""}]","2007-05-23"
"astro-ph/9909074","Erica Ellingson","E. Ellingson, H. Lin, H. K. C. Yee, R. G. Carlberg","Population Gradients in Galaxy Clusters at 0.2 < Z < 0.6","to appear in the PASP proceedings of the conference ""The Hy-Redshift
  Universe: Galaxy Formation and Evolution at High Redshift,"" eds. Andrew J.
  Bunker & Wil J. M. van Breugel",,,,"astro-ph",,"  We present a principal component analysis of galaxy spectra from the CNOC
sample of rich X-ray luminous clusters at 0.18 < z < 0.55. Composite radial
distributions of different stellar populations show strong gradients as a
function of cluster-centric redshift. The composite population is dominated by
evolved populations in the core, and gradually changes to one which is similar
to coeval field galaxies at radii greater than the virial radius. We do not see
evidence in the clusters for an excess of star formation over that seen in the
coeval field. Within this redshift range, significant evolution in the gradient
shape is seen, with higher redshift clusters showing steeper gradients. This
results in larger numbers of younger galaxies seen towards the inner regions of
the clusters-- in effect, a restatement of the Butcher-Oemler effect.
Luminosity density profiles are consistent with a scenario where this
phenomenon is due to a decline over time in the infall rate of field galaxies
into clusters. Depending on how long galaxies reside in clusters before their
star formation rates are diminished, this suggests an epoch for maximal infall
into clusters at z > 0.7. We also discuss alternative scenarios for the
evolution of cluster populations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:30:26 GMT""}]","2007-05-23"
"astro-ph/9909075","Philip E. Hardee","Philip E. Hardee","3D Structures on Relativistic Jets","to appear in Life Cycles of Radio Galaxies, ed. J. Biretta et al.,
  New Astronomy Reviews; 8 pages, including 3 figures","New Astron.Rev. 46 (2002) 427-432","10.1016/S1387-6473(02)00155-0",,"astro-ph",,"  The properties of wave-like helically twisted normal mode structures on
steady relativistic jets are summarized. Wave speeds are a function of the
wavelength and less than the jet speed. However, normal mode interference can
lead to both stationary and superluminal phase effects. A maximum pressure
fluctuation criterion suggested by numerical simulations of axisymmetric
relativistic jets is used to find the maximum asymmetric jet distortions and
velocity fluctuations. Cyclic transverse velocity fluctuation can lead to
variation in the flow direction on the order of the relativistic beaming angle.
Resulting variation in the Doppler boost factor can lead to significant
brightness asymmetries as helical structures twist around the jet beam. Growth
of these structures is reduced as the jet density, Lorentz factor or Mach
number are increased. Maximum jet distortion is reduced as the Lorentz factor
increases and this suggests a reduction in mass entrainment or other non-linear
disruptive processes that influence the morphological development of radio
sources.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:48:21 GMT""}]","2009-10-31"
"astro-ph/9909076","Wendy L. Freedman","Wendy L. Freedman","The Hubble Constant and the Expansion Age of the Universe","25 page review, 3 figures, to be published in the David Schramm
  Memorial Volume of Physics Reports, latex file; elsart","Phys.Rept.333:13-31,2000","10.1016/S0370-1573(00)00013-2",,"astro-ph",,"  The Hubble constant, which measures the expansion rate, together with the
total energy density of the Universe, sets the size of the observable Universe,
its age, and its radius of curvature. Excellent progress has been made recently
toward the measurement of the Hubble constant: a number of different methods
for measuring distances have been developed and refined, and a primary project
of the Hubble Space Telescope has been the accurate calibration of this
difficult-to-measure parameter. The recent progress in these measurements is
summarized, and areas where further work is needed are discussed. Currently,
for a wide range of possible cosmological models, the Universe appears to have
a kinematic age less than about 14 +/- 2 billion years. Combined with current
estimates of stellar ages, the results favor a low-matter-density universe.
They are consistent with either an open universe, or a flat universe with a
non-zero value of the cosmological constant.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:24:27 GMT""}]","2008-11-26"
"astro-ph/9909077","Alex Rosen","A. Rosen, P.E. Hardee","Effect of Expansion and Magnetic Field Configuration on Mass Entrainment
  of Jets","to appear in Life Cycles of Radio Galaxies, ed. J. Biretta et al.,
  New Astronomy Reviews; 6 pages, including 3 figures","New Astron.Rev. 46 (2002) 433-437","10.1016/S1387-6473(02)00156-2",,"astro-ph",,"  We investigate the growth of jet plus entrained mass in simulations of
supermagnetosonic cylindrical and expanding jets. The entrained mass spatially
grows in three stages: from an initially slow spatial rate to a faster rate and
finally at a flatter rate. These stages roughly coincide with the similar rates
of expansion in simulated radio intensity maps, and also appear related to the
growth of the Kelvin-Helmholtz instability through linear, nonlinear, and
saturated regimes. In the supermagnetosonic cylindrical jets, we found that a
jet with an embedded primarily toroidal magnetic field is more stable than a
jet with a primarily axial magnetic field. Also, pressure-matched expanding
jets are more stable and entrain less mass than cylindrical jets with
equivalent inlet conditions.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:51:55 GMT""}]","2009-10-31"
"astro-ph/9909078","Frank","F. Krennrich (Iowa State University), S. Le Bohec (Iowa State
  University) and T.C. Weekes (Harvard-Smithsonian CfA)","Detection Techniques of Microsecond Gamma-Ray Bursts using Ground-Based
  Telescopes","accepted for publication in the Astrophysical Journal",,"10.1086/308261",,"astro-ph",,"  Gamma-ray observations above 200 MeV are conventionally made by
satellite-based detectors. The EGRET detector on the Compton Gamma Ray
Observatory (CGRO) has provided good sensitivity for the detection of bursts
lasting for more than 200 ms. Theoretical predictions of high-energy gamma-ray
bursts produced by quantum-mechanical decay of primordial black holes (Hawking
1971) suggest the emission of bursts on shorter time scales. The final stage of
a primordial black hole results in a burst of gamma-rays, peaking around 250
MeV and lasting for a tenth of a microsecond or longer depending on particle
physics. In this work we show that there is an observational window using
ground-based imaging Cherenkov detectors to measure gamma-ray burst emission at
energies E greater than 200 MeV. This technique, with a sensitivity for bursts
lasting nanoseconds to several microseconds, is based on the detection of
multi-photon-initiated air showers.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:55:33 GMT""}]","2009-10-31"
"astro-ph/9909079","Jonathan E. Baker","Jonathan E. Baker and Marc Davis (UC Berkeley)","A New Object-Weighted Measure of the Small-Scale Velocity Dispersion","8 pages, 3 figures; Cosmic Flows Workshop, Victoria B.C., July 1999,
  ed. S. Courteau, M. Strauss, and J. Willick (ASP); see also astro-ph/9909030",,,,"astro-ph",,"  We describe a new statistic for measuring the small-scale velocity dispersion
of galaxies directly from redshift surveys. This statistic is based on the
object-weighted statistic proposed by Davis, Miller, & White (1997). Compared
with the traditional pair-weighted velocity dispersion, our statistic is less
sensitive to the presence or absence of rare, rich clusters of galaxies. This
measure of the thermal energy of the galaxy distribution is ideally suited for
use with a filtered version of the cosmic energy equation. We discuss the
application of the statistic to the Las Campanas Redshift Survey. The low
observed dispersion strongly favors cosmological models with low matter
density, Omega_m ~ 0.2.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 21:02:51 GMT""}]","2007-05-23"
"astro-ph/9909080","Mary Putman","M. E. Putman","High-Velocity Clouds Related to the Magellanic System","21 pages, 6 figures in gif format, chapter for the book
  ""High-Velocity Clouds"" (Kluwer: Dordrecht), edited by H. van Woerden, U.
  Schwarz, B. Wakker and K. de Boer",,,,"astro-ph",,"  The results of the interaction between the Milky Way and the Magellanic
Clouds are revealed through several high velocity complexes which are connected
to the Clouds. The exact mechanism of their formation is under some debate, but
they remain the only group of high-velocity clouds (HVCs) for which we have an
origin and roughly a distance. Given that, the Magellanic HVCs can be used as a
calibrator for other HVCs, while also providing an opportunity to closely
investigate the remnants of an interacting system. These HVCs may hold the key
to the star formation history, kinematic structure, and present Hubble type of
the Magellanic Clouds, and their proximity to the Milky Way allows us to
estimate key Galactic parameters.
  The HVCs related to the Magellanic System can be classified into three major
complexes: the Magellanic Bridge, an HI connection between the Clouds; the
Magellanic Stream, which trails the clouds and is one of the largest HI
features in the sky outside of our Galaxy; and the Leading Arm, a more diffuse
HI filament which leads the Clouds. In terms of HVCs, these features have been
studied rather extensively. In this review, I will first describe the
observational results for each complex and subsequently discuss their origin
and relationship to the overall HVC population. All of the HI data presented
are from the HI Parkes All-Sky Survey (HIPASS) (Barnes et al. 2001; Putman et
al. 2001).
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 21:12:45 GMT""},{""version"":""v2"",""created"":""Thu, 8 Mar 2001 17:40:20 GMT""}]","2007-05-23"
"astro-ph/9909081","Natasha Papousek","Sunetra Giridhar, David L. Lambert, Guillermo Gonzalez","Abundance Analyses of Field RV Stars, V: DS Aquarii, UY Arae, TW
  Camelopardis, BT Librae, U Moncerotis, TT Ophiuchi, and RV Tauri","42 pages, 6 figures, 8 tables, this may be listed as ApJ in press",,"10.1086/308451",,"astro-ph",,"  Abundance analyses are presented and discussed for eight RV Tauri variables.
The RV B star UY Ara shows the abundance anomalies seen in other RV B stars,
namely elements that condense into grains at high temperature are underabundant
but elements of low condensation temperature are much less underabundant. This
pattern is ascribed to a separation of dust from gas with accretion of gas but
not dust by the atmosphere. Abundances for two RV C stars with earlier results
for other RV C stars show that these intrinsically metal-poor stars do not show
effects of dust-gas separation. Analyses of five RV A stars show that these
cooler stars are very largely unaffected by dust-gas separation. It is proposed
that the deeper convective envelope of cooler stars dilutes anomalies resulting
from dust-gas separation - the dusty wind off the RV Tauri variable or a dusty
circumbinary disk - are reviewed and observational tests are suggested.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 21:39:00 GMT""}]","2009-10-31"
"astro-ph/9909082","Narciso Benitez","N. Benitez & J. L. Sanz (UC Berkeley)","Measuring Omega/b with weak lensing","6 pages, 2 figures, uses macro emulateapj.sty. To appear in
  ApJLetters",,"10.1086/312329",,"astro-ph",,"  A correlation between the surface density of foreground galaxies tracing the
Large Scale Structure and the position of distant galaxies and quasars is
expected from the magnification bias effect (Canizares 1981). We show that this
foreground--background correlation function w_{fb} can be used as a
straightforward and almost model-free method to measure the cosmological ratio
Omega/b. For samples with appropriate redshift distributions, w_{fb} is
proportional to Omega<delta g>, where delta and g are respectively the
foreground dark matter and galaxy surface density fluctuations. Therefore,
Omega/b is proportional to the ratio w_{fb}/w, where w is equivalent to <gg>,
the foreground galaxy angular two-point correlation function, b is the biasing
factor, and the proportionality factor is independent of the dark matter power
spectrum. Simple estimations show that the application of this method to the
galaxy and quasar samples generated by the upcoming Sloan Sky Digital Survey
will achieve a highly accurate and well resolved measurement of the ratio
Omega/b.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 00:52:49 GMT""}]","2016-08-30"
"astro-ph/9909084","Kenji Tomita","K. Tomita","Bulk Motions in Large-Scale Void Models","4 pages, to appear in proceedings of Cosmic Flows workshop, Victoria,
  Canada, July 1999, ed. S. Courteau, M. Strauss & J. Willick. ASP Series",,,,"astro-ph",,"  To explain the puzzling situation in the observed bulk flows on scales $\sim
150 h^{-1}$ Mpc ($H_0 = 100 h^{-1}$ km sec$^{-1}$ Mpc$^{-1}$), we consider the
observational behavior of spherically symmetric inhomogeneous cosmological
models, which consist of inner and outer homogeneous regions connected by a
shell or an intermediate self-similar region. It is assumed that the present
matter density parameter in the inner region is smaller than that in the outer
region, and the present Hubble parameter in the inner region is larger than
that in the outer region. Then galaxies in the inner void-like region can be
seen to have a bulk motion relative to matter in the outer region, when we
observe them at a point O deviated from the center C of the inner region. Their
velocity $v_p$ in the CD direction is equal to the difference of two Hubble
parameters multiplied by the distance between C and O. It is found also that
the velocity $v_d$ corresponding to CMB dipole anisotropy observed at O is by a
factor $\approx 10$ small compared with $v_p$. This behavior of $v_d$ and $v_p$
is consistent with the observed cosmic flow of cluster galaxies, when the
radius of the inner region and the distance CD are about 200 $h^{-1}$ Mpc and
40 $h^{-1}$ Mpc, respectively, and when the gaps of density and Hubble
parameters are $\approx 0.5$ and 18%, respectively. Moreover, the [m, z]
relation in these models is discussed in connection with SNIa data.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 05:29:47 GMT""}]","2007-05-23"
