"astro-ph/9912046","Jerome Martin","Philippe Brax and Jerome Martin","The Robustness of Quintessence","16 pages, 7 figures","Phys.Rev. D61 (2000) 103502","10.1103/PhysRevD.61.103502","t99/075","astro-ph gr-qc hep-ph hep-th",,"  Recent observations seem to suggest that our Universe is accelerating
implying that it is dominated by a fluid whose equation of state is negative.
Quintessence is a possible explanation. In particular, the concept of tracking
solutions permits to adress the fine-tuning and coincidence problems. We study
this proposal in the simplest case of an inverse power potential and
investigate its robustness to corrections. We show that quintessence is not
affected by the one-loop quantum corrections. In the supersymmetric case where
the quintessential potential is motivated by non-perturbative effects in gauge
theories, we consider the curvature effects and the K\""ahler corrections. We
find that the curvature effects are negligible while the K\""ahler corrections
modify the early evolution of the quintessence field. Finally we study the
supergravity corrections and show that they must be taken into account as
$Q\approx m_{\rm Pl}$ at small red-shifts. We discuss simple supergravity
models exhibiting the quintessential behaviour. In particular, we propose a
model where the scalar potential is given by $V(Q)=\frac{\Lambda^{4+\alpha
}}{Q^{\alpha}}e^{\frac{\kappa}{2}Q^2}$. We argue that the fine-tuning problem
can be overcome if $\alpha \ge 11$. This model leads to $\omega_Q\approx -0.82$
for $\Omega_{\rm m}\approx 0.3$ which is in good agreement with the presently
available data.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:18:41 GMT""}]","2009-10-31"
"astro-ph/9912047","A. Evans","A.S. Evans (Caltech,SUNY), J.A. Surace, J.M. Mazzarella","Resolved CO(1-0) Nuclei in IRAS 14348-1447: Evidence for Massive Bulge
  Progenitors to Ultraluminous Infrared Galaxies","LaTex, 5 pages with 1 postscript and 1 jpg figure, ApJ Letters, in
  press",,"10.1086/312465",,"astro-ph",,"  High-resolution, CO(1-0) interferometry of the ultraluminous infrared galaxy
IRAS 14348-1447 is presented. The merger system has a molecular gas mass of
\~3x10^10 solar masses and a projected nuclear separation of 4.8 kpc (3.5""),
making it one of the most molecular gas-rich galaxies known and an ideal
candidate for studying the intermediate stages of an ultraluminous merger
event. The CO morphology shows two molecular gas components associated with the
stellar nuclei of the progenitors, consistent with the idea that the molecular
disks are gravitationally bound by the dense bulges of the progenitor galaxies
as the interaction proceeds. In contrast, less luminous infrared galaxies
observed to date with projected nuclear separations of ~<5 kpc show a dominant
CO component between the stellar nuclei. This discrepancy may be an indication
that the progenitors of mergers with lower infrared luminosity do not possess
massive bulges, and that the gas is stripped during the initial encounter of
their progenitors. A comparison of the CO and radio luminosities of the NE and
SW component show them to have comparable radio and CO flux ratios of
f(NE)/f(SW) ~0.6, possibly indicating that the amount of star-forming molecular
gas in the progenitors is correlated with the supernovae rate. The estimate of
molecular gas masses of the nuclei and the extent of the radio emission are
used to infer that the nuclei of IR 14348-1447 have gas densities comparable to
the cores of elliptical galaxies.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:28:12 GMT""},{""version"":""v2"",""created"":""Mon, 6 Dec 1999 20:45:05 GMT""}]","2009-10-31"
"astro-ph/9912048","Judith G. Cohen","Judith Cohen, David Hogg, Roger Blandford, Lennox Cowie, Esther Hu,
  Antoinette Songaila, Patrick Shopbell and Kevin Richberg","Caltech Faint Galaxy Redshift Survey X: A Redshift Survey in the Region
  of the Hubble Deep Field North","Accepted to the ApJ. This version contains all the figures and
  tables. 2 minor typos in table 2b corrected","Astrophys.J.538:29-52,2000","10.1086/309096",,"astro-ph",,"  A redshift survey has been carried out in the region of the Hubble Deep Field
North using the Low Resolution Imaging Spectrograph at the Keck Observatory.
The resulting redshift catalog, which contains 671 entries, is a compendium of
our own data together with published LRIS/Keck data. It is more than 92%
complete for objects, irrespective of morphology, to $R = 24$ mag in the HDF
itself and to $R = 23$ mag in the Flanking Fields within a diameter of 8 arcmin
centered on the HDF, an unusually high completion for a magnitude limited
survey performed with a large telescope. A median redshift $z = 1.0$ is reached
at $R \sim 23.8$.
  Strong peaks in the redshift distribution, which arise when a group or poor
cluster of galaxies intersect the area surveyed, can be identified to $z \sim
1.2$ in this dataset. More than 68% of the galaxies are members of these
redshift peaks. In a few cases, closely spaced peaks in $z$ can be resolved
into separate groups of galaxies that can be distinguished in both velocity and
location on the sky.
  The radial separation of these peaks in the pencil-beam survey is consistent
with a characteristic length scale for the their separation of $\approx$70 Mpc
in our adopted cosmology ($h = 0.6, \Omega_M = 0.3$, $\Lambda = 0$). Strong
galaxy clustering is in evidence at all epochs back to $z \le 1.1$. (abstract
abridged)
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:26:00 GMT""},{""version"":""v2"",""created"":""Sun, 21 May 2000 23:24:55 GMT""},{""version"":""v3"",""created"":""Tue, 23 May 2000 00:59:27 GMT""},{""version"":""v4"",""created"":""Wed, 24 May 2000 16:12:31 GMT""}]","2008-11-26"
"astro-ph/9912049","Vasilii Gvaramadze","V.V. Gvaramadze (Abastumani Astrophysical Observatory, Tbilisi,
  Georgia)","The nature of the Vela X-ray ""jet""","11 pages, 3 figures. Accepted for publication in A&A","Astron. Astrophys., 352 (1999) 712",,,"astro-ph",,"  The nature of the Vela X-ray ""jet"", recently discovered by Markwardt &
\""Ogelman (1995), is examined. It is suggested that the ""jet"" arises along the
interface of domelike deformations of the Rayleigh-Taylor unstable shell of the
Vela supernova remnant; thereby the ""jet"" is interpreted as a part of the
general shell of the remnant. The origin of deformations as well as the general
structure of the remnant are discussed in the framework of a model based on a
cavity explosion of a supernova star. It is suggested that the shell
deformations viewed at various angles appear as filamentary structures visible
throughout the Vela supernova remnant at radio, optical, and X-ray wavelengths.
A possible origin of the nebula of hard X-ray emission detected by Willmore et
al. (1992) around the Vela pulsar is proposed.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:44:38 GMT""}]","2007-05-23"
"astro-ph/9912050","Sun Hong Rhie","Sun Hong Rhie and David P. Bennett","Line Caustic Microlensing and Limb Darkening","14 pages, 8 figures",,,,"astro-ph",,"  In a line caustic crossing microlensing event, the caustic line moving across
the surface of the source star provides a direct method to measure the
integrated luminosity profile of the star. Combined with the enormous
brightening at the caustic crossings, microlensing offers a promising tool for
studying stellar luminosity profiles. We derive the amplification behavior of
the two extra images that become partial images conjoined across the critical
curve at a line caustic crossing. We identify the multiplicative factors that
depend on the caustic crossing point and the relative size of the star, and the
shape function that depends on the stellar luminosity profile. We examine the
analytic limb-darkening models -- linear, square root, and square -- using the
analytic form of the shape function. We find that the microlensing lightcurves
must be determined to an accuracy of better than 0.3-0.8% in order to be able
to determine the linear limb-darkening parameter $c_1$ with precision of
$\delta c_1 = 0.1$. This is similar to the accuracy level required in eclipsing
binaries as reported by Popper (1984).
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:49:14 GMT""}]","2007-05-23"
"astro-ph/9912051","Eva Villaver","E. Villaver (1), A. Manchado (1) and G. Garcia-Segura (2) ((1)
  Instituto de Astrofisica de Canarias - Spain, (2) IA-UNAM, Ensenada, Mexico)","The formation of asymmetries in Multiple Shell Planetary Nebulae due to
  interaction with the ISM","4 pages, to appear in ""Asymmetrical Planetary Nebulae II: from
  Origins to Microstructures"", ASP Conference Series, J.H. Kastner, N. Soker, &
  S.A. Rappaport, eds",,,,"astro-ph",,"  Multiple shell planetary nebulae (MSPNe) are most likely a consequence of the
modulation of the mass-loss rate during the thermal pulses on the AGB. By using
numerical simulations of their formation, the models' predictions and the
history of the winds can be investigated. As their halos have low densities and
expansion velocities, MSPNe are expected to be affected by interaction with the
ISM . This would then give us evidence of the local ISM conditions.
  In order to study the formation of MSPNe, we have performed numerical
simulations following the evolution of the stellar winds for a 1 solar mass
star from the AGB to the post-AGB stages. Without invoking any asymmetry for
the stellar wind and taking into account the effects of a moving central star,
an asymmetric halo is formed as a consequence of the interaction with the ISM.
  We found that the asymmetries caused by the interaction take place from the
beginning of the evolution and have an enormous influence on the formation of
the halo.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:57:41 GMT""}]","2007-05-23"
"astro-ph/9912052","Jose F. Gomez","Jose F. Gomez (1), Paola D'Alessio (2) ((1) Laeff-Inta, (2) Ia-Unam)","Resolving Molecular Line Emission from Protoplanetary Disks:
  Observational Prospects for Disks Irradiated by Infalling Envelopes","41 pages, 16 figures. To be published in The Astrophysical Journal",,"10.1086/308850",,"astro-ph",,"  Molecular line observations that could resolve protoplanetary disks of ~100
AU both spatially and kinematically would be a useful tool to unambiguously
identify these disks and to determine their kinematical and physical
characteristics. In this work we model the expected line emission from a
protoplanetary disk irradiated by an infalling envelope, addressing the
question of its detectability with subarcsecond resolution. We adopt a
previously determined disk model structure that gives a continuum spectral
energy distribution and a mm intensity spatial distribution that are consistent
with observational constraints of HL Tau. An analysis of the capability of
presently working and projected interferometers at mm and submm wavelengths
shows that molecular transitions of moderate opacity at these wavelengths
(e.g., C17O lines) are good candidates for detecting disk lines at subarcsecond
resolution in the near future. We suggest that, in general, disks of typical
Class I sources will be detectable.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:58:00 GMT""}]","2009-10-31"
"astro-ph/9912053","Jacco van Loon","Jacco Th. van Loon (IoA, Cambridge UK)","Mass-loss rates and dust-to-gas ratios for obscured Asymptotic Giant
  Branch stars of different metallicities","10 pages, 8 figures. Accepted for publication in A&A Main Journal",,,,"astro-ph",,"  The mass-loss rates and dust-to-gas ratios of obscured Asymptotic Giant
Branch (AGB) stars are investigated for samples with different initial
metallicities: in the Small and Large Magellanic Clouds (SMC & LMC) and in the
Milky Way. The properties of their circumstellar envelopes can be explained in
a consistent way if, both for obscured M-type AGB stars and for obscured carbon
stars, the total (gas+dust) mass-loss rate depends only weakly on initial
metallicity whilst the dust-to-gas ratio depends approximately linearly on
initial metallicity.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:05:32 GMT""}]","2007-05-23"
"astro-ph/9912054","A. A. Starobinsky","A.A. Starobinsky","Future and Origin of our Universe: Modern View","12 pages, latex; invited talk at the Symposium ``The Future of the
  Universe and the Future of our Civilization'', Budapest, 2 - 8 July 1999, to
  appear in its Proceedings, World Scientific, 2000","Grav.Cosmol.6:157-163,2000",,,"astro-ph gr-qc hep-ph",,"  The existence of a positive and possibly varying Lambda-term opens a much
wider field of possibilities for the future of our Universe than it was usually
thought before. Definite predictions may be made for finite (though very large)
intervals of time only, as well as in other branches of science. In particular,
our Universe will continue to expand as far as the Lambda-term remains positive
and does not decay to other forms of matter, even if the Universe is closed.
Two new effects due to the presence of a constant Lambda-term are discussed:
reversal of a sign of the redshift change with time for sufficiently close
objects and inaccessibility of sufficiently distant objects in the Universe for
us. A number of more distant and speculative possibilities for the future
evolution of the Universe is listed including hitting a space-time singularity
during an expansion phase. Finally, in fantastically remote future, a part of
our Universe surrounding us can become supercurved and superdense due to
various quantum-gravitational effects. This returns us to the past, to the
origin of our Universe from a superdense state about 14 Gy ago. According to
the inflationary scenario, this state was almost maximally symmetric (de
Sitter-like). Though this scenario seems to be sufficient for the explanation
of observable properties of the present Universe, and its predictions have been
confirmed by observations, the question of the origin of the initial de Sitter
(inflationary) state itself remains open. A number of conjectures regarding the
very origin of our Universe, ranging from ""creation from nothing"" to ""creation
from anything"", are discussed.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:08:56 GMT""}]","2008-11-26"
"astro-ph/9912055","Gabriele Ghisellini","G. Tagliaferri, G. Ghisellini, P. Giommi, L. Chiappetti, L. Maraschi,
  A. Celotti, M. Chiaberge, G. Fossati, E.Massaro, M. Maesano, F. Montagni, R.
  Nesci, G. Nucciarelli, E. Pian, C.M. Raiteri, F. Tavecchio, G. Tosti, A.
  Treves, M. Villata, A. Wolter","The concave X-ray spectrum of the blazar ON 231: the signature of
  intermediate BL Lac objects","Accepted for publication in A&A, main journal",,,,"astro-ph",,"  ON 231 was observed with BeppoSAX in May and June 1998, following an
exceptional optical outburst which occured in April--May. We measured the X-ray
spectrum from 0.1 up to 100 keV. In both occasions the spectrum had a concave
shape, with a break detected at about 4 and 2.5 keV, respectively. We interpret
the steeper component at energies below the break as due to synchrotron
emission and the extremely flat component at energies above the break as due to
inverse Compton emission. This is so far the best example in which both the
synchrotron and the Inverse Compton component are detected simultaneously and
with the same instruments in the X-ray spectrum of a blazar. We detect a
decrease of the X-ray flux of about 30% below the break between the first and
the second observation, and smaller variability amplitude between 4 and 10 keV.
During the May observation we also detected a fast variability event with the
flux below 4 keV increasing by about a factor of three in 5 hours. Above 4 keV
no variability was detected. We discuss these results in the framework of
synchrotron self-Compton models.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:25:55 GMT""}]","2007-05-23"
"astro-ph/9912056","Dario Trevese","D. Trevese, G. Cirimele, M. De Simone","An X-ray and Optical Study of Matter Distribution in the Galaxy Cluster
  A 2319","7 pages, 2 tables, 8 figures",,"10.1086/308381",,"astro-ph",,"  A new analysis of velocity distribution, optical photometry and X-ray surface
brightness from ROSAT PSPC data of the galaxy cluster A 2319 is presented. The
temperature profile derived from ASCA data (Markevitch et al.,1996) is taken
into account. A method to check the hydrostatic model in the presence of a
temperature gradient is proposed. Consistency of the hydrostatic isothermal
model and the explanation of the ""beta-discrepancy"" are discussed. Galaxy and
gas density profiles of the main component A 2319A are derived, allowing for
the effect of the secondary component A 2319B. The inadequacy of a polytropic
model, which would produce a binding mass decrease with respect to the
isothermal beta-model, is discussed. A simple interpolation of the temperature
profile provides instead an increase of the binding mass and a lower baryon
fraction thus mitigating the ""baryon catastrophe"". Assuming as typical the
value f_b ~ 0.2, a comparison with the most recent estimate of Omega_b(nucl)
implies for the cosmological parameter Omega_o less than 0.4.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:37:40 GMT""}]","2009-10-31"
