"adap-org/9912001","J. Doyne Farmer","J. Doyne Farmer and Andrew W. Lo","Frontiers of finance: Evolution and efficient markets","2 pages","Proceedings of the National Academy of Science, Vol . 96, p.
  9991-9992","10.1073/pnas.96.18.9991",,"adap-org nlin.AO",,"  In this review article we explore several recent advances in the quantitative
modeling of financial markets. We begin with the Efficient Markets Hypothesis
and describe how this controversial idea has stimulated a number of new
directions of research, some focusing on more elaborate mathematical models
that are captable of rationalizing the empirical facrts, others taking a
completely different different tack in rejecting rationality altogether. One of
the most promising directions is to view financial markets from a biological
perspective and, specifically, with an evolutionary framework in which markets,
instruments, institutions, and investors interact and evolve dynamically
according to the ""law"" of economic selection. Under this view, financial agents
compete and adapt, but they do not necessarily do so in an optimal fashion.
Evolutionary and ecological models of financial markets is truly a new frontier
whose exploration has just begun.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:11:21 GMT""}]","2009-10-31"
"astro-ph/9912153","Kurt Adelberger","K. L. Adelberger (Caltech)","Star Formation and Structure Formation at Redshifts 1 < z < 4","17 pages including 7 figures, to be published (somewhat abridged) in
  Clustering at High Redshift, Marseille, June 1999; eds. A Mazure and O.
  LeFevre",,,,"astro-ph",,"  The advent of 8m-class telescopes has made galaxies at 1 < z < 4 relatively
easy to detect and study. This is a brief and incomplete review of some of the
recent results to emerge from surveys at these redshifts. After describing
different strategies for finding galaxies at z >~ 1, and the differences (and
similarities) in the resulting galaxy samples, I summarize what is known about
the spatial clustering of star-forming galaxies at z >~ 1. Optically selected
galaxies are the main focus of this review, but in the final section I discuss
the connection between optical and sub-mm samples, and argue that the majority
of the 850 micron background may have been produced by known optically selected
populations at high redshift. Among the new results presented are the
dust-corrected luminosity function of Lyman-break galaxies at z~3, the
estimated contribution to the 850 micron background from optically selected
galaxies at 1<z<5, revised estimates of the spatial clustering strength of
Lyman-break galaxies at z~3, and an estimate of the clustering strength of
star-forming galaxies at z~1 derived from a new spectroscopic sample of ~800
galaxies with <z> = 1.0, sigma_z = 0.10.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:45:29 GMT""}]","2007-05-23"
"astro-ph/9912167","Jonathan P. Gardner","J. P. Gardner, S. A. Baum, T. M. Brown, C. M. Carollo, J. Christensen,
  I. Dashevsky, M. E. Dickinson, B. R. Espey, H. C. Ferguson, A. S. Fruchter,
  A. M. Gonnella, R. A. Gonzalez-Lopezlira, R. N. Hook, M. E. Kaiser, C. L.
  Martin, K. C. Sahu, S. Savaglio, T. E. Smith, H. I. Teplitz, R. E. Williams,
  and J. Wilson","The Hubble Deep Field South - STIS Imaging","44 pages, 10 figures, accepted for publication in the Astronomical
  Journal, February 2000. The resolution of the images has been reduced;
  preprints with full resolution images are available at
  http://hires.gsfc.nasa.gov/~gardner/hdfs/stispaper/index.html",,"10.1086/301215",,"astro-ph",,"  We present the imaging observations made with the Space Telescope Imaging
Spectrograph of the Hubble Deep Field - South. The field was imaged in 4
bandpasses: a clear CCD bandpass for 156 ksec, a long-pass filter for 22-25
ksec per pixel typical exposure, a near-UV bandpass for 23 ksec, and a far-UV
bandpass for 52 ksec. The clear visible image is the deepest observation ever
made in the UV-optical wavelength region, reaching a 10 sigma AB magnitude of
29.4 for an object of area 0.2 square arcseconds. The field contains QSO
J2233-606, the target of the STIS spectroscopy, and extends 50""x50"" for the
visible images, and 25""x25"" for the ultraviolet images. We present the images,
catalog of objects, and galaxy counts obtained in the field.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:15:13 GMT""}]","2009-10-31"
"astro-ph/9912168","C. Murali","C. Murali (CITA/UMass)","The Magellanic Stream and the density of coronal gas in the Galactic
  halo","4 pages, 1 figure, in press, ApJL",,"10.1086/312462","CITA 99-28","astro-ph",,"  The properties of the Magellanic Stream constrain the density of coronal gas
in the distant Galactic halo. We show that motion through ambient gas can
strongly heat Stream clouds, driving mass loss and causing evaporation. If the
ambient gas density is too high, then evaporation occurs on unreasonably short
timescales. Since heating dominates drag, tidal stripping appears to be
responsible for producing the Stream. Requiring the survival of the cloud MS IV
for 500 Myr sets an upper limit on the halo gas density n_H< 10^{-5} cm^{-3} at
50 kpc, roughly a factor of 10 lower than that estimated from the drag model of
Moore & Davis (1994). Implications for models of the evolution of gas in galaxy
halos are discussed.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:28:23 GMT""}]","2016-08-30"
"astro-ph/9912169","Sandro Mereghetti","S. Mereghetti, A. Tiengo, G.L.Israel, L.Stella","XTE and SAX observations of the Be/neutron star system RX J0146.9+6121","6 pages, latex, 7 figures, Accepted for publication on Astronomy &
  Astrophysics",,,,"astro-ph",,"  We report XTE and SAX observations of the X-ray pulsar RX J0146.9+612, the
neutron star/Be binary system with the longest known spin period. Data obtained
one month after the most recent outburst (July 1997), show that the source has
returned to its normal luminosity of a few 10^34 erg/s while spin down
continued at an average rate of about 5x10e-8 s/s.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:48:02 GMT""}]","2007-05-23"
"astro-ph/9912170","Igor V. Igumenshchev","Igor V. Igumenshchev","Unipolar outflows and global meridional circulations in rotating
  accretion flows","5 pages, 4 figures, accepted by MNRAS",,"10.1046/j.1365-8711.2000.03355.x",,"astro-ph",,"  Using two-dimensional simulations of non-radiative viscous rotating black
hole accretion flows, we show that the flows with alpha~0.1-0.3 self-organize
to form stationary unipolar or bipolar outflows accompanied by global
meridional circulations. The required energy comes, with efficiency
\~0.001-0.01, from the matter directly accreted onto black hole. Observational
implications are discussed.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:48:22 GMT""}]","2009-10-31"
"astro-ph/9912171","Dale Frail","D. A. Frail, S. R. Kulkarni, M. H. Wieringa, G. B. Taylor, G. H.
  Moriarty-Schieven, D. S. Shepherd, R. M. Wark, R. Subrahmanyan, D. McConnell,
  and S. J. Cunningham","A Coordinated Radio Afterglow Program","To appear in Proc. of the 5th Huntsville Gamma-Ray Burst Symposium, 5
  pages, LaTeX",,"10.1063/1.1361550",,"astro-ph",,"  We describe a ground-based effort to find and study afterglows at centimeter
and millimeter wavelengths. We have observed all well-localized gamma-ray
bursts in the Northern and Southern sky since BeppoSAX first started providing
rapid positions in early 1997. Of the 23 GRBs for which X-ray afterglows have
been detected, 10 have optical afterglows and 9 have radio afterglows. A
growing number of GRBs have both X-ray and radio afterglows but lack a
corresponding optical afterglow.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 17:18:26 GMT""}]","2009-10-31"
"astro-ph/9912172","Karl Gebhardt","Karl Gebhardt, Carlton Pryor, R.D. O'Connell, T.B. Williams, James E.
  Hesser","CFHT Adaptive Optics Observations of the Central Kinematics in M15","23 pages, emulateapj style, accepted for publication in The
  Astronomical Journal, March",,"10.1086/301275",,"astro-ph",,"  We have used an Imaging Fabry-Perot Spectrophotometer with the Adaptive
Optics Bonnette on the Canada-France-Hawaii Telescope to measure stellar radial
velocities in the globular cluster M15. An average seeing of 0.15"" full-width
at half maximum, with the best-seeing image having 0.09"", allowed us to measure
accurately the velocities for five stars within 1"" of the center of M15. Our
estimate of the second moment of the velocity distribution inside a radius of
2"" is 11.5 km/s, the same value we find out to a radius of about 6"". However,
the projected net rotation does increase dramatically at small radii, as our
previous observations led us to suspect. The rotation amplitude inside a radius
of 3.4"" is v = 10.4 +- 2.7 km/s and the dispersion after removing the rotation
is sigma = 10.3 +- 1.4 km/s, so v/sigma = 1 in this region. In addition, the
position angle (PA) of the projected rotation axis differs by 100 degrees from
that of the net cluster rotation at larger radii. Current theoretical models do
not predict either this large an increase in the rotation amplitude or such a
change in the PA. However, a central mass concentration, such as a black hole,
could possibly sustain such a configuration. The rotation increase is
consistent with the existence of a central dark mass concentration equal to
2500 M_solar.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 17:29:16 GMT""}]","2009-10-31"
"astro-ph/9912173","Arun Varma Thampan","Bhaskar Datta, Arun V. Thampan, Ignazio Bombaci","Possible signatures for strange stars in stellar X-ray binaries","4 pages, 2 figs., uses psbox.tex, submitted to A&A",,,,"astro-ph hep-ph nucl-th",,"  Kilohertz quasi-periodic brightness oscillations (kHz QPOs) observed in
certain X-ray burst sources may represent Keplerian frequencies in the inner
regions of the accretion disk in such systems. If this assumption is strictly
adhered to, we show here that if the central accretor in stellar X-ray burst
sources is a strange star (made up of u, d and s quarks in beta equilibrium,
referred to as strange matter) then the calculated QPO frequencies are
reconcilable with the observed QPO frequencies (corresponding to the highest
frequency of 1.22 kHz, observed so far from the source 4U 1636-53) only for
particular values of the QCD-related parameters which describe the equation of
state of strange matter. We demonstrate that QPO frequencies in the very high
range (1.9-3.1) kHz can be understood in terms of a (non- magnetized) strange
star X-ray binary (SSXB) rather than a neutron star X-ray binary (NSXB). Future
discovery of such high frequency QPOs from X-ray burst sources will constitute
a new astrophysical di- agnostic for identifying solar mass range stable
strange stars in our galaxy.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 17:40:53 GMT""}]","2007-05-23"
"astro-ph/9912174","Robert J. Scherrer","Jens Kujat and Robert J. Scherrer","The Effect of Time Variation in the Higgs Vacuum Expectation Value on
  the Cosmic Microwave Background","6 pages, 3 figures, Fig. 3 modified, other minor corrections","Phys.Rev. D62 (2000) 023510","10.1103/PhysRevD.62.023510",,"astro-ph hep-ph",,"  A time variation in the Higgs vacuum expectation value alters the electron
mass and thereby changes the ionization history of the universe. This change
produces a measurable imprint on the pattern of cosmic microwave background
(CMB) fluctuations. The nuclear masses and nuclear binding energies, as well as
the Fermi coupling constant, are also altered, with negligible impact on the
CMB. We calculate the changes in the spectrum of the CMB fluctuations as a
function of the change in the electron mass. We find that future CMB
experiments could be sensitive to |\Delta m_e/m_e| \sim |\Delta G_F/G_F| \sim
10^{-2} - 10^{-3}. However, we also show that a change in the electron mass is
nearly, but not exactly, degenerate with a change in the fine-structure
constant. If both the electron mass and the fine-structure constant are
time-varying, the corresponding CMB limits are much weaker, particularly for l
< 1000.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:24:46 GMT""},{""version"":""v2"",""created"":""Wed, 8 Mar 2000 17:37:39 GMT""}]","2009-10-31"
"astro-ph/9912175","Erik Gregersen","Erik M. Gregersen (McMaster University), Neal J. Evans II (UT-Austin),
  Diego Mardones (Universidad de Chile) and Philip C. Myers (CfA)","Does Infall End Before the Class I Stage?","21 pages, 8 figures, accepted by ApJ for April 20, 2000, added
  acknowledgment",,"10.1086/308665",,"astro-ph",,"  We have observed HCO+ J=3-2 toward 16 Class I sources and 18 Class 0 sources,
many of which were selected from Mardones et al. (1997). Eight sources have
profiles significantly skewed to the blue relative to optically thin lines. We
suggest six sources as new infall candidates. We find an equal ""blue excess""
among Class 0 and Class I sources after combining this sample with that of
Gregersen et al. (1997). We used a Monte Carlo code to simulate the temporal
evolution of line profiles of optically thick lines of HCO+, CS and H2CO in a
collapsing cloud and found that HCO+ had the strongest asymmetry at late times.
If a blue-peaked line profile implies infall, then the dividing line between
the two classes does not trace the end of the infall stage.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:50:22 GMT""},{""version"":""v2"",""created"":""Thu, 9 Dec 1999 15:51:43 GMT""}]","2009-10-31"
