"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"astro-ph/9912315","David Marsden","David Marsden (1), Richard Lingenfelter, Richard Rothschild (2), and
  James Higdon (3) ((1) NASA/Goddard Space Flight Center, (2) CASS/UCSD, (3)
  W.M. Keck Science Center/Claremont Colleges)","Environmental Influences in SGRs and AXPs","5 pages with 2 figures. To appear in the proceedings of the 5th
  Huntsville GRB Symposium (Huntsville, AL, Oct. 1999)",,"10.1063/1.1361653",,"astro-ph",,"  Soft gamma-ray repeaters (SGRs) and anomalous x-ray pulsars (AXPs) are young
(<100 kyr), radio-quiet, x-ray pulsars which have been rapidly spun-down to
slow spin periods clustered at 5-12 s. Nearly all of these unusual pulsars also
appear to be associated with supernova shell remnants (SNRs) with typical ages
<20 kyr. If the unusual properties of SGRs and AXPs were due to an innate
feature, such as a superstrong magnetic field, then the pre-supernova
environments of SGRs and AXPs should be typical of neutron star progenitors.
This is not the case, however, as we demonstrate that the interstellar media
which surrounded the SGR and AXP progenitors and their SNRs were unusually
dense compared to the environments around most young radio pulsars and SNRs.
Thus, if these SNR associations are real, the SGRs and AXPs can not be
``magnetars'', and we suggest instead that the environments surrounding SGRs
and AXPs play a controlling role in their development.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:02:30 GMT""}]","2009-10-31"
"astro-ph/9912316","Robin Corbet","Robin H.D. Corbet & Andrew G. Peele","The Orbital Period of the Be/Neutron Star Binary RX J0812.4-3114",,,"10.1086/312485",,"astro-ph",,"  We present the results of Rossi X-ray Timing Explorer observations of the Be
star X-ray binary system RX J0812.4-3114. A light curve obtained with the RXTE
All-Sky Monitor shows that the source is currently in an active state with
outbursts occurring at approximately 80 day intervals. The source underwent a
transition from an inactive state to this regular outburst state early in 1998.
An observation of RX J0812.4-3114 was obtained with the RXTE Proportional
Counter Array close to the time of a predicted maximum in March 1999 and strong
pulsations were detected at a period of 31.88 seconds. This confirms the result
of an earlier PCA observation by Reig & Roche which was serendipitously also
obtained near the predicted maximum flux of the 80 day period and also near the
start of the current active state. We interpret the periodicity in the ASM
light curve as indicating the orbital period of RX J0812.4-3114 with outbursts
occurring around periastron passage.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:18:19 GMT""}]","2009-10-31"
"astro-ph/9912317","James S. Graber","James S. Graber","Blueshift Without Blueshift: Red Hole Gamma-Ray Burst Models Explain the
  Peak energy Distribution","To appear in Proc of the 10th Annual October Astrophysics Conference
  in Maryland: Cosmic Explosions, 4 Pages, LaTex",,"10.1063/1.1291726",,"astro-ph",,"  Gamma-ray bursts are still a puzzle. In particular, the central engine, the
total energy and the very narrow distribution of peak energies challenge model
builders. We consider here an extreme model of gamma-ray bursts based on highly
red- and blue-shifted positron annihilation radiation. The burst emerges from
inside the red hole created by the complete gravitational collapse of the GRB
progenitor.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:38:26 GMT""}]","2009-10-31"
"astro-ph/9912318","Pepi Fabbiano","G. Fabbiano","How do we Build Future X-ray Observatories to Study Galaxies?","to be published in the proceedings of the workshop ""Large Scale
  Structure in the X-ray Universe"". The proceedings will be published by
  Editions Frontieres (Seguier/ Atlantica)",,,,"astro-ph",,"  Galaxies are key objects for the study of cosmology, the life cycle of
matter, and stellar evolution. X-ray observations have given us a new key
window into these building blocks of the Universe, that allows us to
investigate their hot gaseous component. While significant advances in our
knowledge are expected from Chandra and XMM, there is a number of fundamental
questions that require a next generation of X-ray telescopes. These telescopes
need to be 10-30 sqmeter class telescopes, with Chandra-like resolution, and
with a suite of instruments allowing spectral imaging at moderate to high
resolution.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:45:50 GMT""}]","2007-05-23"
"astro-ph/9912319","Takashi Hamana","Takashi Hamana and Toshifumi Futamase","A new measure of $\sigma_8$ using the lensing dispersion in high-$z$
  type Ia SNe","9 pages, 3 figures. Accepted for publication in The Astrophysical
  Journal",,"10.1086/308758","YITP-99-64","astro-ph",,"  The gravitational lensing magnification or demagnification due to large-scale
structures induces a scatter in peak magnitudes of high redshift type Ia
supernovae (SNe Ia). The amplitude of the lensing dispersion strongly depends
on that of density fluctuations characterized by the $\sigma_8$ parameter.
Therefore the value of $\sigma_8$ is constrained by measuring the dispersion in
the peak magnitudes. We examine how well SN Ia data will provide a constraint
on the value of $\sigma_8$ using a likelihood analysis method. It is found that
the number and quality of SN Ia data needed for placing a useful constraint on
$\sigma_8$ is attainable with Next Generation Space Telescope.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:18:12 GMT""}]","2009-10-31"
"astro-ph/9912320","Richard Conn Henry","Richard C. Henry","Kretschmann Scalar for a Kerr-Newman Black Hole","14 pages including four figures",,"10.1086/308819",,"astro-ph",,"  I have derived the Kretschmann scalar for a general black hole of mass m,
angular momentum per unit mass a, and electric charge Q. The Kretschmann scalar
gives the amount of curvature of spacetime, as a function of position near (and
within) a black hole. This allows one to display the ""appearance"" of the black
hole itself, whether the black hole is merely of stellar mass, or is a
supermassive black hole at the center of an active galaxy. Schwarzschild black
holes, rotating black holes, electrically charged black holes, and rotating
electrically-charged black holes, are all illustrated. Rotating black holes are
discovered to possess a negative curvature that is not analagous to that of a
saddle.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:14:02 GMT""}]","2009-10-31"
"astro-ph/9912321","Mateusz Ruszkowski","Mateusz Ruszkowski and Andrew C. Fabian (Institute of Astronomy,
  Cambridge, UK)","On the influence of resonant absorption on the iron emission line
  profiles from accreting black holes","7 pages, 4 figures; accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.315:223,2000","10.1046/j.1365-8711.2000.03310.x",,"astro-ph",,"  The fluorescent iron K$\alpha$ emission line profile provides an excellent
probe of the innermost regions of active galactic nuclei. Fe XXV and Fe XXVI in
diffuse plasma above the accretion disc can affect the X-ray spectrum by iron
K$\alpha$ resonant absorption. This in turn can influence the interpretation of
the data and the estimation of the accretion disc and black hole parameters. We
embark on a fully relativistic computation of this effect and calculate the
iron line profile in the framework of a specific model in which rotating,
highly ionized and resonantly-absorbing plasma occurs close to the black hole.
This can explain the features seen in the iron K$\alpha$ line profile recently
obtained by Nandra et al. (1999) for the Seyfert 1 galaxy NGC 3516. We show
that the redshift of this feature can be mainly gravitational in origin and
accounted for without the need to invoke fast accretion of matter onto the
black hole. New X-ray satellites such as XMM, ASTRO-E and Chandra provide
excellent opportunities to test the model against high quality observational
data.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:14:35 GMT""}]","2009-09-17"
"astro-ph/9912322","James S. Graber","James S. Graber","Red Hole Gamma-Ray Bursts: A New Gravitational Collapse Paradigm
  Explains the Peak Energy Distribution and Solves the GRB Energy Crisis","To appear in Proc of the 5th Huntsville Gamma-Ray Burst Symposium, 5
  pages, LaTex",,"10.1063/1.1361606",,"astro-ph",,"  Gamma-ray bursts (GRBs) are still an enigma. In particular the central
engine, the total energy, and the very narrow distribution of peak energies
challenge model builders. Motivated by recent theoretical developments (string
theory, quantum gravity, critical collapse), which suggest that complete
gravitational collapse can occur without singularities or event horizons, we
explore how red-hole models (which lack singularities or event horizons) can
solve these problems better than black-hole models.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:33:11 GMT""}]","2009-10-31"
"astro-ph/9912323","Letizia Stanghellini","Letizia Stanghellini","Planetary Nebulae as Probes of Stellar Evolution and Populations","to appear in: Chemical Evolution of the Milky Way: stars versus
  clusters, ed. F. Giovannelli and F. Matteucci, Kluwer (2000), in press",,"10.1007/978-94-010-0938-6_9",,"astro-ph",,"  Planetary Nebulae (PNe) have been used satisfactory to test the effects of
stellar evolution on the Galactic chemical environment. Moreover, a link exists
between nebular morphology and stellar populations and evolution. We present
the latest results on Galactic PN morphology, and an extension to a distance
unbiased and homogeneous sample of Large Magellanic Cloud PNe. We show that PNe
and their morphology may be successfully used as probes of stellar evolution
and populations.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:06:42 GMT""}]","2016-01-27"
"astro-ph/9912324","Rafael Angel Araya-Gochez","Rafael Angel Araya-Gochez","Hydromagnetic Energy Conversion and Prompt Collimation in Mildly
  Advective, Kerr Black Holes","14 pgs, no figures, submitted to M.N.R.A.S. V2: slightly revised
  text, citations and output numbers",,,,"astro-ph",,"  Recent evidence of the phenomenal energetics involved in gamma ray burst
events strongly suggests that the progenitor must efficiently convert
gravitational binding energy into a moderately collimated outflow, possibly in
the form of a Poynting jet. We show that an MHD-instability driven dynamo (IDD)
operating in a hot accretion disk is capable of generating energetically
adecuate magnetic flux deposition rates above and below a mildly advective
accretion disk structure. The dynamo is driven by the magnetorotational
instability (MRI) of a toroidal field in a shear flow and is limited by the
buoyancy of `horizontal' flux and by reconnection in the turbulent medium. In
the comoving frame of a semi-thick, slim disk setting, the predominant field
components reside in surfaces perpendicular to the local meridian and the flux
is deposited in funnels that are relatively free of baryons. The efficiency of
magnetic energy deposition is estimated to be comparable to the neutrino losses
but the strong effective shear induced by the metric on the MRI favors pumping
magnetic field energy at low wavenumbers, i.e., field generation at large
coherence lengthscales. This, in turn, suggests that an MHD collimation
mechanism may deem this process a more viable alternative to
neutrino-burst--driven models of gamma ray bursts.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:07:26 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jan 2000 21:36:52 GMT""}]","2007-05-23"
